"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"US","us-county-2020","county","us-county-2020:01043","01043","Cullman County, AL",2010,80406,"resident population (denominator of published adherence rates)",62799,78.1,,,,,,1902.96,,,"usrc-2010-county-file|census-bureau-cb-county-2020|us-fips-crosswalk-2010-2020",""
"US","us-county-2020","county","us-county-2020:01045","01045","Dale County, AL",2010,50251,"resident population (denominator of published adherence rates)",24732,49.22,,,,,,1453.28,,,"usrc-2010-county-file|census-bureau-cb-county-2020|us-fips-crosswalk-2010-2020",""
"US","us-county-2020","county","us-county-2020:01047","01047","Dallas County, AL",2010,43820,"resident population (denominator of published adherence rates)",26546,60.58,,,,,,2534.92,,,"usrc-2010-county-file|census-bureau-cb-county-2020|us-fips-crosswalk-2010-2020",""
"US","us-county-2020","county","us-county-2020:01049","01049","DeKalb County, AL",2010,71109,"resident population (denominator of published adherence rates)",39370,55.37,,,,,,2012.62,,,"usrc-2010-county-file|census-bureau-cb-county-2020|us-fips-crosswalk-2010-2020",""
"US","us-county-2020","county","us-county-2020:01051","01051","Elmore County, AL",2010,79303,"resident population (denominator of published adherence rates)",37247,46.97,,,,,,1601.95,,,"usrc-2010-county-file|census-bureau-cb-county-2020|us-fips-crosswalk-2010-2020",""
"US","us-county-2020","county","us-county-2020:01053","01053","Escambia County, AL",2010,38319,"resident population (denominator of published adherence rates)",23014,60.06,,,,,,2448.6,,,"usrc-2010-county-file|census-bureau-cb-county-2020|us-fips-crosswalk-2010-2020",""
"US","us-county-2020","county","us-county-2020:01055","01055","Etowah County, AL",2010,104430,"resident population (denominator of published adherence rates)",84006,80.44,,,,,,1385.92,,,"usrc-2010-county-file|census-bureau-cb-county-2020|us-fips-crosswalk-2010-2020",""
"US","us-county-2020","county","us-county-2020:01057","01057","Fayette County, AL",2010,17241,"resident population (denominator of published adherence rates)",11039,64.03,,,,,,1625.69,,,"usrc-2010-county-file|census-bureau-cb-county-2020|us-fips-crosswalk-2010-2020",""
"US","us-county-2020","county","us-county-2020:01059","01059","Franklin County, AL",2010,31704,"resident population (denominator of published adherence rates)",20416,64.4,,,,,,1641.85,,,"usrc-2010-county-file|census-bureau-cb-county-2020|us-fips-crosswalk-2010-2020",""
"US","us-county-2020","county","us-county-2020:01061","01061","Geneva County, AL",2010,26790,"resident population (denominator of published adherence rates)",16488,61.55,,,,,,1487.91,,,"usrc-2010-county-file|census-bureau-cb-county-2020|us-fips-crosswalk-2010-2020",""
