"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:051","051","Tasman District",2018,52389,"total people with a stated religious-affiliation response",21657,41.34,30732,58.66,53,10.12,0.01,9615.56,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:051","051","Tasman District",2023,57807,"total people with a stated religious-affiliation response",22317,38.61,35490,61.39,53,9.17,0.01,9615.56,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:052","052","Nelson City",2013,43305,"total people with a stated religious-affiliation response",21240,49.05,22065,50.95,38,8.77,0.09,422.2,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:052","052","Nelson City",2018,50880,"total people with a stated religious-affiliation response",22299,43.83,28581,56.17,38,7.47,0.09,422.2,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:052","052","Nelson City",2023,52584,"total people with a stated religious-affiliation response",21507,40.9,31077,59.1,38,7.23,0.09,422.2,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:053","053","Marlborough District",2013,40386,"total people with a stated religious-affiliation response",22659,56.11,17727,43.89,34,8.42,0,10458.39,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:053","053","Marlborough District",2018,47340,"total people with a stated religious-affiliation response",22155,46.8,25185,53.2,34,7.18,0,10458.39,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:053","053","Marlborough District",2023,49431,"total people with a stated religious-affiliation response",21021,42.53,28410,57.47,34,6.88,0,10458.39,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:054","054","Kaikoura District",2013,3261,"total people with a stated religious-affiliation response",1845,56.58,1416,43.42,7,21.47,0,2048.74,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:054","054","Kaikoura District",2018,3912,"total people with a stated religious-affiliation response",1974,50.46,1938,49.54,7,17.89,0,2048.74,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:054","054","Kaikoura District",2023,4215,"total people with a stated religious-affiliation response",1827,43.35,2388,56.65,7,16.61,0,2048.74,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:055","055","Buller District",2013,9552,"total people with a stated religious-affiliation response",4644,48.62,4908,51.38,7,7.33,0,7942.97,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:055","055","Buller District",2018,9591,"total people with a stated religious-affiliation response",4122,42.98,5469,57.02,7,7.3,0,7942.97,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:055","055","Buller District",2023,10446,"total people with a stated religious-affiliation response",4221,40.41,6225,59.59,7,6.7,0,7942.97,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:056","056","Grey District",2013,12177,"total people with a stated religious-affiliation response",6774,55.63,5403,44.37,10,8.21,0,3474.41,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:056","056","Grey District",2018,13344,"total people with a stated religious-affiliation response",6441,48.27,6903,51.73,10,7.49,0,3474.41,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
