"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:16","16","Amapá - AP",2010,669523,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",630736,94.21,38787,5.79,,,,142570.66,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:16","16","Amapá - AP",2022,600141,"people aged 10 years or older in SIDRA table 9537, variable 140, category Total minus Sem declaração",554299,92.36,45842,7.64,,,,142570.66,,,"ibge-sidra-9537-religion-age10plus-2022|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs","age_universe_10_plus"
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:17","17","Tocantins - TO",2000,1155926,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",1103245,95.44,52681,4.56,,,,278709.33,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:17","17","Tocantins - TO",2010,1383401,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",1301094,94.05,82307,5.95,,,,278709.33,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:17","17","Tocantins - TO",2022,1278888,"people aged 10 years or older in SIDRA table 9537, variable 140, category Total minus Sem declaração",1196328,93.54,82560,6.46,,,,278709.33,,,"ibge-sidra-9537-religion-age10plus-2022|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs","age_universe_10_plus"
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:21","21","Maranhão - MA",2000,5644870,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",5362193,94.99,282677,5.01,,,,332710.31,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:21","21","Maranhão - MA",2010,6574547,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",6143399,93.44,431148,6.56,,,,332710.31,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:21","21","Maranhão - MA",2022,5703910,"people aged 10 years or older in SIDRA table 9537, variable 140, category Total minus Sem declaração",5298065,92.88,405845,7.12,,,,332710.31,,,"ibge-sidra-9537-religion-age10plus-2022|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs","age_universe_10_plus"
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:22","22","Piauí - PI",2000,2839253,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",2752447,96.94,86806,3.06,,,,256701.5,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:22","22","Piauí - PI",2010,3118360,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",3011638,96.58,106722,3.42,,,,256701.5,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:22","22","Piauí - PI",2022,2826152,"people aged 10 years or older in SIDRA table 9537, variable 140, category Total minus Sem declaração",2704549,95.7,121603,4.3,,,,256701.5,,,"ibge-sidra-9537-religion-age10plus-2022|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs","age_universe_10_plus"
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:23","23","Ceará - CE",2000,7418985,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",7138705,96.22,280280,3.78,,,,153546,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:23","23","Ceará - CE",2010,8451909,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",8090090,95.72,361819,4.28,,,,153546,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:23","23","Ceará - CE",2022,7603160,"people aged 10 years or older in SIDRA table 9537, variable 140, category Total minus Sem declaração",7202032,94.72,401128,5.28,,,,153546,,,"ibge-sidra-9537-religion-age10plus-2022|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs","age_universe_10_plus"
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:24","24","Rio Grande do Norte - RN",2000,2772794,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",2606382,94,166412,6,,,,54985.56,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:24","24","Rio Grande do Norte - RN",2010,3167366,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",2964311,93.59,203055,6.41,,,,54985.56,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:24","24","Rio Grande do Norte - RN",2022,2873908,"people aged 10 years or older in SIDRA table 9537, variable 140, category Total minus Sem declaração",2660424,92.57,213484,7.43,,,,54985.56,,,"ibge-sidra-9537-religion-age10plus-2022|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs","age_universe_10_plus"
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:25","25","Paraíba - PB",2000,3440153,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",3262850,94.85,177303,5.15,,,,59145.53,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
