"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"PH","ph-adm2-2020-geoboundaries-41af8f1","adm2","ph-adm2-2020-geoboundaries-41af8f1:2640588B45258001695711","2640588B45258001695711","Ilocos Norte",2020,608508,"PSA 2020 Census of Population and Housing, household population (the universe of the religion table); this differs from total population. HUCs are folded into their census host province and NCR cities into the four NCR legislative districts; Cotabato City is inside Maguindanao and Isabela City is a separate ADM2 unit. The BARMM Special Geographic Area (Interim Province 1) has no polygon and is excluded from the mapped rows; it is reconciled in the national roll-up only.",608394,99.9813,110,0.0181,,,,3275.7951,,,"psa-2020-cph-religious-affiliation-table-a|geoboundaries-gbopen-phl-adm2-41af8f1","household_population_universe;roman_catholic_excludes_catholic_charismatics;no_religion_slot_is_verbatim_none_category"
"PH","ph-adm2-2020-geoboundaries-41af8f1","adm2","ph-adm2-2020-geoboundaries-41af8f1:2640588B69318666079956","2640588B69318666079956","Ilocos Sur",2020,704218,"PSA 2020 Census of Population and Housing, household population (the universe of the religion table); this differs from total population. HUCs are folded into their census host province and NCR cities into the four NCR legislative districts; Cotabato City is inside Maguindanao and Isabela City is a separate ADM2 unit. The BARMM Special Geographic Area (Interim Province 1) has no polygon and is excluded from the mapped rows; it is reconciled in the national roll-up only.",704069,99.9788,141,0.02,,,,2465.1942,,,"psa-2020-cph-religious-affiliation-table-a|geoboundaries-gbopen-phl-adm2-41af8f1","household_population_universe;roman_catholic_excludes_catholic_charismatics;no_religion_slot_is_verbatim_none_category"
"PH","ph-adm2-2020-geoboundaries-41af8f1","adm2","ph-adm2-2020-geoboundaries-41af8f1:2640588B50881283310688","2640588B50881283310688","La Union",2020,820343,"PSA 2020 Census of Population and Housing, household population (the universe of the religion table); this differs from total population. HUCs are folded into their census host province and NCR cities into the four NCR legislative districts; Cotabato City is inside Maguindanao and Isabela City is a separate ADM2 unit. The BARMM Special Geographic Area (Interim Province 1) has no polygon and is excluded from the mapped rows; it is reconciled in the national roll-up only.",820184,99.9806,153,0.0187,,,,1412.9397,,,"psa-2020-cph-religious-affiliation-table-a|geoboundaries-gbopen-phl-adm2-41af8f1","household_population_universe;roman_catholic_excludes_catholic_charismatics;no_religion_slot_is_verbatim_none_category"
"PH","ph-adm2-2020-geoboundaries-41af8f1","adm2","ph-adm2-2020-geoboundaries-41af8f1:2640588B43628149657030","2640588B43628149657030","Pangasinan",2020,3159228,"PSA 2020 Census of Population and Housing, household population (the universe of the religion table); this differs from total population. HUCs are folded into their census host province and NCR cities into the four NCR legislative districts; Cotabato City is inside Maguindanao and Isabela City is a separate ADM2 unit. The BARMM Special Geographic Area (Interim Province 1) has no polygon and is excluded from the mapped rows; it is reconciled in the national roll-up only.",3158198,99.9674,649,0.0205,,,,5155.5746,,,"psa-2020-cph-religious-affiliation-table-a|geoboundaries-gbopen-phl-adm2-41af8f1","household_population_universe;roman_catholic_excludes_catholic_charismatics;no_religion_slot_is_verbatim_none_category"
"PH","ph-adm2-2020-geoboundaries-41af8f1","adm2","ph-adm2-2020-geoboundaries-41af8f1:2640588B23864872837062","2640588B23864872837062","Batanes",2020,18593,"PSA 2020 Census of Population and Housing, household population (the universe of the religion table); this differs from total population. HUCs are folded into their census host province and NCR cities into the four NCR legislative districts; Cotabato City is inside Maguindanao and Isabela City is a separate ADM2 unit. The BARMM Special Geographic Area (Interim Province 1) has no polygon and is excluded from the mapped rows; it is reconciled in the national roll-up only.",18574,99.8978,19,0.1022,,,,201.2506,,,"psa-2020-cph-religious-affiliation-table-a|geoboundaries-gbopen-phl-adm2-41af8f1","household_population_universe;roman_catholic_excludes_catholic_charismatics;no_religion_slot_is_verbatim_none_category"
"PH","ph-adm2-2020-geoboundaries-41af8f1","adm2","ph-adm2-2020-geoboundaries-41af8f1:2640588B33083527354868","2640588B33083527354868","Cagayan",2020,1265540,"PSA 2020 Census of Population and Housing, household population (the universe of the religion table); this differs from total population. HUCs are folded into their census host province and NCR cities into the four NCR legislative districts; Cotabato City is inside Maguindanao and Isabela City is a separate ADM2 unit. The BARMM Special Geographic Area (Interim Province 1) has no polygon and is excluded from the mapped rows; it is reconciled in the national roll-up only.",1265346,99.9847,193,0.0153,,,,8797.7219,,,"psa-2020-cph-religious-affiliation-table-a|geoboundaries-gbopen-phl-adm2-41af8f1","household_population_universe;roman_catholic_excludes_catholic_charismatics;no_religion_slot_is_verbatim_none_category"
"PH","ph-adm2-2020-geoboundaries-41af8f1","adm2","ph-adm2-2020-geoboundaries-41af8f1:2640588B52568839586340","2640588B52568839586340","Isabela",2020,1695539,"PSA 2020 Census of Population and Housing, household population (the universe of the religion table); this differs from total population. HUCs are folded into their census host province and NCR cities into the four NCR legislative districts; Cotabato City is inside Maguindanao and Isabela City is a separate ADM2 unit. The BARMM Special Geographic Area (Interim Province 1) has no polygon and is excluded from the mapped rows; it is reconciled in the national roll-up only.",1694987,99.9674,543,0.032,,,,10497.3065,,,"psa-2020-cph-religious-affiliation-table-a|geoboundaries-gbopen-phl-adm2-41af8f1","household_population_universe;roman_catholic_excludes_catholic_charismatics;no_religion_slot_is_verbatim_none_category"
"PH","ph-adm2-2020-geoboundaries-41af8f1","adm2","ph-adm2-2020-geoboundaries-41af8f1:2640588B36229801410553","2640588B36229801410553","Nueva Vizcaya",2020,496546,"PSA 2020 Census of Population and Housing, household population (the universe of the religion table); this differs from total population. HUCs are folded into their census host province and NCR cities into the four NCR legislative districts; Cotabato City is inside Maguindanao and Isabela City is a separate ADM2 unit. The BARMM Special Geographic Area (Interim Province 1) has no polygon and is excluded from the mapped rows; it is reconciled in the national roll-up only.",495998,99.8896,536,0.1079,,,,4126.6457,,,"psa-2020-cph-religious-affiliation-table-a|geoboundaries-gbopen-phl-adm2-41af8f1","household_population_universe;roman_catholic_excludes_catholic_charismatics;no_religion_slot_is_verbatim_none_category"
"PH","ph-adm2-2020-geoboundaries-41af8f1","adm2","ph-adm2-2020-geoboundaries-41af8f1:2640588B94420346402626","2640588B94420346402626","Quirino",2020,203530,"PSA 2020 Census of Population and Housing, household population (the universe of the religion table); this differs from total population. HUCs are folded into their census host province and NCR cities into the four NCR legislative districts; Cotabato City is inside Maguindanao and Isabela City is a separate ADM2 unit. The BARMM Special Geographic Area (Interim Province 1) has no polygon and is excluded from the mapped rows; it is reconciled in the national roll-up only.",203502,99.9862,10,0.0049,,,,2766.8027,,,"psa-2020-cph-religious-affiliation-table-a|geoboundaries-gbopen-phl-adm2-41af8f1","household_population_universe;roman_catholic_excludes_catholic_charismatics;no_religion_slot_is_verbatim_none_category"
"PH","ph-adm2-2020-geoboundaries-41af8f1","adm2","ph-adm2-2020-geoboundaries-41af8f1:2640588B82822310999177","2640588B82822310999177","Aurora",2020,234991,"PSA 2020 Census of Population and Housing, household population (the universe of the religion table); this differs from total population. HUCs are folded into their census host province and NCR cities into the four NCR legislative districts; Cotabato City is inside Maguindanao and Isabela City is a separate ADM2 unit. The BARMM Special Geographic Area (Interim Province 1) has no polygon and is excluded from the mapped rows; it is reconciled in the national roll-up only.",234921,99.9702,62,0.0264,,,,3034.4975,,,"psa-2020-cph-religious-affiliation-table-a|geoboundaries-gbopen-phl-adm2-41af8f1","household_population_universe;roman_catholic_excludes_catholic_charismatics;no_religion_slot_is_verbatim_none_category"
