"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","printed_population_total","religion_universe_deviation","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag","composition"
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-012","MY-DOSM-belaga","Belaga",2020,22502,"Agama/ Religion",22502,0,21828,97.0047106923829,674,2.9952893076171,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame","Islam=2294;Christianity=19394;Buddhism=125;Hinduism=5;Others=10;No Religion/Unknown=674"
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-013","MY-DOSM-beluran","Beluran",1991,54495,"Agama/ Religion",54539,-44,51863,95.1701991008349,2632,4.82980089916506,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame;religion_universe_differs_from_printed_population_total","Islam=32485;Christianity=18594;Buddhism=512;Hinduism=134;Others=138;No Religion/Unknown=2632"
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-013","MY-DOSM-beluran","Beluran",2000,75586,"Agama/ Religion",75586,0,71770,94.95144603498,3816,5.04855396501998,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame","Islam=46393;Christianity=24849;Buddhism=313;Hinduism=67;Others=148;No Religion/Unknown=3816"
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-013","MY-DOSM-beluran","Beluran",2010,104484,"Agama/ Religion",104484,0,102427,98.0312775161747,2057,1.96872248382527,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame","Islam=71578;Christianity=30325;Buddhism=467;Hinduism=40;Others=17;No Religion/Unknown=2057"
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-013","MY-DOSM-beluran","Beluran",2020,77125,"Agama/ Religion",77125,0,76718,99.4722852512156,407,0.527714748784441,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame","Islam=63648;Christianity=12755;Buddhism=140;Hinduism=168;Others=7;No Religion/Unknown=407"
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-014","MY-DOSM-beluru","Beluru",1991,,"Agama/ Religion",,,,,,,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame;source_cell_unavailable_as_printed",
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-014","MY-DOSM-beluru","Beluru",2000,,"Agama/ Religion",,,,,,,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame;source_cell_unavailable_as_printed",
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-014","MY-DOSM-beluru","Beluru",2010,,"Agama/ Religion",,,,,,,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame;source_cell_unavailable_as_printed",
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-014","MY-DOSM-beluru","Beluru",2020,28695,"Agama/ Religion",28695,0,27648,96.3512807109253,1047,3.64871928907475,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame","Islam=10972;Christianity=15855;Buddhism=250;Hinduism=3;Others=568;No Religion/Unknown=1047"
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-015","MY-DOSM-bentong","Bentong",1991,81258,"Agama/ Religion",83965,-2707,78834,97.0169091043343,2424,2.98309089566566,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame;religion_universe_differs_from_printed_population_total","Islam=41936;Christianity=922;Buddhism=17485;Hinduism=7920;Others=10571;No Religion/Unknown=2424"
