"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag","composition"
"WS","ws-statistical-region-2011-spc-pdh","statistical_region","ws-statistical-region-2011-spc-pdh:aua","aua","Apia Urban Area",2021,35974,"Exact sum of the committed 2021 constituency-summary population counts for the census statistical region; the area_code prefix supplies the workbook's own roll-up.",35931,99.8805,43,0.1195,,,,,,,"sbs-census-2021-table2-religion-constituency|spc-pdh-wsm-2011-phc-regions","census_religion_2021_verbatim_frame;26_category_partition;real_no_religion_category;ordinary_two_slot_semantics;exact_constituency_rollup;no_allocation_no_inference;partial_layer=coarser-grain;primary_level=statistical_region;constituency_prefix=aua;categories_verbatim[CONGREGATIONAL CHRISTIAN CHURCH OF SAMOA=10232;METHODIST=2861;ROMAN CATHOLIC=9098;LATTER  DAY SAINTS=4904;ASSEMBLY OF GOD=2073;SEVENTH DAYS ADVENTIST=1213;ASO FITU  (SISDAC)=273;JEHOVAHS WITNESS=396;CONGREGATIONAL CHRISTIAN CHURCH OF JESUS IN SAMOA  (EFIS)=236;AMAZING LOVE CHRISTIAN CHURCH=143;BAHAI=132;VOICE OF CHRIST=368;WORSHIP CENTRE=1471;NAZARENE=163;BIBLE STUDY=58;FIRST FULL GOSPEL PENTECOSTAL CHURCH IN SAMOA=335;PABTISM=120;PEACE CHAPEL=418;SAMOA EVANGELISM=63;POROTESANO=146;ANGLICAN CHURCH=63;ELIM CHURCH=35;CHRISTIAN FELLOWSHIP=201;MUSLIM=14;OTHER CHURCHES=915;NO RELIGION=43]","[{""label_verbatim"":""CONGREGATIONAL CHRISTIAN CHURCH OF SAMOA"",""count"":10232},{""label_verbatim"":""METHODIST"",""count"":2861},{""label_verbatim"":""ROMAN CATHOLIC"",""count"":9098},{""label_verbatim"":""LATTER  DAY SAINTS"",""count"":4904},{""label_verbatim"":""ASSEMBLY OF GOD"",""count"":2073},{""label_verbatim"":""SEVENTH DAYS ADVENTIST"",""count"":1213},{""label_verbatim"":""ASO FITU  (SISDAC)"",""count"":273},{""label_verbatim"":""JEHOVAHS WITNESS"",""count"":396},{""label_verbatim"":""CONGREGATIONAL CHRISTIAN CHURCH OF JESUS IN SAMOA  (EFIS)"",""count"":236},{""label_verbatim"":""AMAZING LOVE CHRISTIAN CHURCH"",""count"":143},{""label_verbatim"":""BAHAI"",""count"":132},{""label_verbatim"":""VOICE OF CHRIST"",""count"":368},{""label_verbatim"":""WORSHIP CENTRE"",""count"":1471},{""label_verbatim"":""NAZARENE"",""count"":163},{""label_verbatim"":""BIBLE STUDY"",""count"":58},{""label_verbatim"":""FIRST FULL GOSPEL PENTECOSTAL CHURCH IN SAMOA"",""count"":335},{""label_verbatim"":""PABTISM"",""count"":120},{""label_verbatim"":""PEACE CHAPEL"",""count"":418},{""label_verbatim"":""SAMOA EVANGELISM"",""count"":63},{""label_verbatim"":""POROTESANO"",""count"":146},{""label_verbatim"":""ANGLICAN CHURCH"",""count"":63},{""label_verbatim"":""ELIM CHURCH"",""count"":35},{""label_verbatim"":""CHRISTIAN FELLOWSHIP"",""count"":201},{""label_verbatim"":""MUSLIM"",""count"":14},{""label_verbatim"":""OTHER CHURCHES"",""count"":915},{""label_verbatim"":""NO RELIGION"",""count"":43}]"
"WS","ws-statistical-region-2011-spc-pdh","statistical_region","ws-statistical-region-2011-spc-pdh:nwu","nwu","North West Upolu",2021,75307,"Exact sum of the committed 2021 constituency-summary population counts for the census statistical region; the area_code prefix supplies the workbook's own roll-up.",75229,99.8964,78,0.1036,,,,,,,"sbs-census-2021-table2-religion-constituency|spc-pdh-wsm-2011-phc-regions","census_religion_2021_verbatim_frame;26_category_partition;real_no_religion_category;ordinary_two_slot_semantics;exact_constituency_rollup;no_allocation_no_inference;partial_layer=coarser-grain;primary_level=statistical_region;constituency_prefix=nwu;categories_verbatim[CONGREGATIONAL CHRISTIAN CHURCH OF SAMOA=17228;METHODIST=7293;ROMAN CATHOLIC=14145;LATTER  DAY SAINTS=11666;ASSEMBLY OF GOD=10021;SEVENTH DAYS ADVENTIST=3769;ASO FITU  (SISDAC)=887;JEHOVAHS WITNESS=793;CONGREGATIONAL CHRISTIAN CHURCH OF JESUS IN SAMOA  (EFIS)=88;AMAZING LOVE CHRISTIAN CHURCH=133;BAHAI=325;VOICE OF CHRIST=636;WORSHIP CENTRE=3420;NAZARENE=546;BIBLE STUDY=93;FIRST FULL GOSPEL PENTECOSTAL CHURCH IN SAMOA=760;PABTISM=294;PEACE CHAPEL=422;SAMOA EVANGELISM=128;POROTESANO=66;ANGLICAN CHURCH=79;ELIM CHURCH=9;CHRISTIAN FELLOWSHIP=330;MUSLIM=37;OTHER CHURCHES=2061;NO RELIGION=78]","[{""label_verbatim"":""CONGREGATIONAL CHRISTIAN CHURCH OF SAMOA"",""count"":17228},{""label_verbatim"":""METHODIST"",""count"":7293},{""label_verbatim"":""ROMAN CATHOLIC"",""count"":14145},{""label_verbatim"":""LATTER  DAY SAINTS"",""count"":11666},{""label_verbatim"":""ASSEMBLY OF GOD"",""count"":10021},{""label_verbatim"":""SEVENTH DAYS ADVENTIST"",""count"":3769},{""label_verbatim"":""ASO FITU  (SISDAC)"",""count"":887},{""label_verbatim"":""JEHOVAHS WITNESS"",""count"":793},{""label_verbatim"":""CONGREGATIONAL CHRISTIAN CHURCH OF JESUS IN SAMOA  (EFIS)"",""count"":88},{""label_verbatim"":""AMAZING LOVE CHRISTIAN CHURCH"",""count"":133},{""label_verbatim"":""BAHAI"",""count"":325},{""label_verbatim"":""VOICE OF CHRIST"",""count"":636},{""label_verbatim"":""WORSHIP CENTRE"",""count"":3420},{""label_verbatim"":""NAZARENE"",""count"":546},{""label_verbatim"":""BIBLE STUDY"",""count"":93},{""label_verbatim"":""FIRST FULL GOSPEL PENTECOSTAL CHURCH IN SAMOA"",""count"":760},{""label_verbatim"":""PABTISM"",""count"":294},{""label_verbatim"":""PEACE CHAPEL"",""count"":422},{""label_verbatim"":""SAMOA EVANGELISM"",""count"":128},{""label_verbatim"":""POROTESANO"",""count"":66},{""label_verbatim"":""ANGLICAN CHURCH"",""count"":79},{""label_verbatim"":""ELIM CHURCH"",""count"":9},{""label_verbatim"":""CHRISTIAN FELLOWSHIP"",""count"":330},{""label_verbatim"":""MUSLIM"",""count"":37},{""label_verbatim"":""OTHER CHURCHES"",""count"":2061},{""label_verbatim"":""NO RELIGION"",""count"":78}]"
"WS","ws-statistical-region-2011-spc-pdh","statistical_region","ws-statistical-region-2011-spc-pdh:rou","rou","Rest of Upolu",2021,49101,"Exact sum of the committed 2021 constituency-summary population counts for the census statistical region; the area_code prefix supplies the workbook's own roll-up.",49092,99.9817,9,0.0183,,,,,,,"sbs-census-2021-table2-religion-constituency|spc-pdh-wsm-2011-phc-regions","census_religion_2021_verbatim_frame;26_category_partition;real_no_religion_category;ordinary_two_slot_semantics;exact_constituency_rollup;no_allocation_no_inference;partial_layer=coarser-grain;primary_level=statistical_region;constituency_prefix=rou;categories_verbatim[CONGREGATIONAL CHRISTIAN CHURCH OF SAMOA=16201;METHODIST=4903;ROMAN CATHOLIC=8414;LATTER  DAY SAINTS=9926;ASSEMBLY OF GOD=4358;SEVENTH DAYS ADVENTIST=1414;ASO FITU  (SISDAC)=403;JEHOVAHS WITNESS=268;CONGREGATIONAL CHRISTIAN CHURCH OF JESUS IN SAMOA  (EFIS)=50;AMAZING LOVE CHRISTIAN CHURCH=388;BAHAI=158;VOICE OF CHRIST=461;WORSHIP CENTRE=484;NAZARENE=415;BIBLE STUDY=1;FIRST FULL GOSPEL PENTECOSTAL CHURCH IN SAMOA=334;PABTISM=41;PEACE CHAPEL=5;SAMOA EVANGELISM=32;POROTESANO=9;ANGLICAN CHURCH=1;ELIM CHURCH=187;CHRISTIAN FELLOWSHIP=16;MUSLIM=1;OTHER CHURCHES=622;NO RELIGION=9]","[{""label_verbatim"":""CONGREGATIONAL CHRISTIAN CHURCH OF SAMOA"",""count"":16201},{""label_verbatim"":""METHODIST"",""count"":4903},{""label_verbatim"":""ROMAN CATHOLIC"",""count"":8414},{""label_verbatim"":""LATTER  DAY SAINTS"",""count"":9926},{""label_verbatim"":""ASSEMBLY OF GOD"",""count"":4358},{""label_verbatim"":""SEVENTH DAYS ADVENTIST"",""count"":1414},{""label_verbatim"":""ASO FITU  (SISDAC)"",""count"":403},{""label_verbatim"":""JEHOVAHS WITNESS"",""count"":268},{""label_verbatim"":""CONGREGATIONAL CHRISTIAN CHURCH OF JESUS IN SAMOA  (EFIS)"",""count"":50},{""label_verbatim"":""AMAZING LOVE CHRISTIAN CHURCH"",""count"":388},{""label_verbatim"":""BAHAI"",""count"":158},{""label_verbatim"":""VOICE OF CHRIST"",""count"":461},{""label_verbatim"":""WORSHIP CENTRE"",""count"":484},{""label_verbatim"":""NAZARENE"",""count"":415},{""label_verbatim"":""BIBLE STUDY"",""count"":1},{""label_verbatim"":""FIRST FULL GOSPEL PENTECOSTAL CHURCH IN SAMOA"",""count"":334},{""label_verbatim"":""PABTISM"",""count"":41},{""label_verbatim"":""PEACE CHAPEL"",""count"":5},{""label_verbatim"":""SAMOA EVANGELISM"",""count"":32},{""label_verbatim"":""POROTESANO"",""count"":9},{""label_verbatim"":""ANGLICAN CHURCH"",""count"":1},{""label_verbatim"":""ELIM CHURCH"",""count"":187},{""label_verbatim"":""CHRISTIAN FELLOWSHIP"",""count"":16},{""label_verbatim"":""MUSLIM"",""count"":1},{""label_verbatim"":""OTHER CHURCHES"",""count"":622},{""label_verbatim"":""NO RELIGION"",""count"":9}]"
"WS","ws-statistical-region-2011-spc-pdh","statistical_region","ws-statistical-region-2011-spc-pdh:sav","sav","Savaii",2021,45175,"Exact sum of the committed 2021 constituency-summary population counts for the census statistical region; the area_code prefix supplies the workbook's own roll-up.",45173,99.9956,2,0.0044,,,,,,,"sbs-census-2021-table2-religion-constituency|spc-pdh-wsm-2011-phc-regions","census_religion_2021_verbatim_frame;26_category_partition;real_no_religion_category;ordinary_two_slot_semantics;exact_constituency_rollup;no_allocation_no_inference;partial_layer=coarser-grain;primary_level=statistical_region;constituency_prefix=sav;categories_verbatim[CONGREGATIONAL CHRISTIAN CHURCH OF SAMOA=11750;METHODIST=9261;ROMAN CATHOLIC=5249;LATTER  DAY SAINTS=9663;ASSEMBLY OF GOD=4281;SEVENTH DAYS ADVENTIST=1674;ASO FITU  (SISDAC)=399;JEHOVAHS WITNESS=262;CONGREGATIONAL CHRISTIAN CHURCH OF JESUS IN SAMOA  (EFIS)=108;AMAZING LOVE CHRISTIAN CHURCH=20;BAHAI=175;VOICE OF CHRIST=276;WORSHIP CENTRE=756;NAZARENE=164;BIBLE STUDY=324;FIRST FULL GOSPEL PENTECOSTAL CHURCH IN SAMOA=277;PABTISM=203;PEACE CHAPEL=5;SAMOA EVANGELISM=0;POROTESANO=7;ANGLICAN CHURCH=10;ELIM CHURCH=0;CHRISTIAN FELLOWSHIP=18;MUSLIM=0;OTHER CHURCHES=291;NO RELIGION=2]","[{""label_verbatim"":""CONGREGATIONAL CHRISTIAN CHURCH OF SAMOA"",""count"":11750},{""label_verbatim"":""METHODIST"",""count"":9261},{""label_verbatim"":""ROMAN CATHOLIC"",""count"":5249},{""label_verbatim"":""LATTER  DAY SAINTS"",""count"":9663},{""label_verbatim"":""ASSEMBLY OF GOD"",""count"":4281},{""label_verbatim"":""SEVENTH DAYS ADVENTIST"",""count"":1674},{""label_verbatim"":""ASO FITU  (SISDAC)"",""count"":399},{""label_verbatim"":""JEHOVAHS WITNESS"",""count"":262},{""label_verbatim"":""CONGREGATIONAL CHRISTIAN CHURCH OF JESUS IN SAMOA  (EFIS)"",""count"":108},{""label_verbatim"":""AMAZING LOVE CHRISTIAN CHURCH"",""count"":20},{""label_verbatim"":""BAHAI"",""count"":175},{""label_verbatim"":""VOICE OF CHRIST"",""count"":276},{""label_verbatim"":""WORSHIP CENTRE"",""count"":756},{""label_verbatim"":""NAZARENE"",""count"":164},{""label_verbatim"":""BIBLE STUDY"",""count"":324},{""label_verbatim"":""FIRST FULL GOSPEL PENTECOSTAL CHURCH IN SAMOA"",""count"":277},{""label_verbatim"":""PABTISM"",""count"":203},{""label_verbatim"":""PEACE CHAPEL"",""count"":5},{""label_verbatim"":""SAMOA EVANGELISM"",""count"":0},{""label_verbatim"":""POROTESANO"",""count"":7},{""label_verbatim"":""ANGLICAN CHURCH"",""count"":10},{""label_verbatim"":""ELIM CHURCH"",""count"":0},{""label_verbatim"":""CHRISTIAN FELLOWSHIP"",""count"":18},{""label_verbatim"":""MUSLIM"",""count"":0},{""label_verbatim"":""OTHER CHURCHES"",""count"":291},{""label_verbatim"":""NO RELIGION"",""count"":2}]"
