"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"SG","sg-pa-2008-ura-mp2008","planning_area","sg-pa-2008-ura-mp2008:JE","JE","Jurong East",2010,73372,"Resident Population Aged 15 Years and Over",61318,83.5714,12054,16.4286,,,,17.857763,,,"singstat-ct-8628-planning-area-religion-2010|data-gov-sg-d-773f010a4eaae0ce6d81cbe78d251642","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2008-ura-mp2008","planning_area","sg-pa-2008-ura-mp2008:JW","JW","Jurong West",2010,218175,"Resident Population Aged 15 Years and Over",184155,84.407,34020,15.593,,,,14.688294,,,"singstat-ct-8628-planning-area-religion-2010|data-gov-sg-d-773f010a4eaae0ce6d81cbe78d251642","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2008-ura-mp2008","planning_area","sg-pa-2008-ura-mp2008:KL","KL","Kallang",2010,84581,"Resident Population Aged 15 Years and Over",69265,81.8919,15316,18.1081,,,,9.168913,,,"singstat-ct-8628-planning-area-religion-2010|data-gov-sg-d-773f010a4eaae0ce6d81cbe78d251642","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2008-ura-mp2008","planning_area","sg-pa-2008-ura-mp2008:MD","MD","Mandai",2010,1301,"Resident Population Aged 15 Years and Over",1023,78.6318,278,21.3682,,,,11.76689,,,"singstat-ct-8628-planning-area-religion-2010|data-gov-sg-d-773f010a4eaae0ce6d81cbe78d251642","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2008-ura-mp2008","planning_area","sg-pa-2008-ura-mp2008:MP","MP","Marine Parade",2010,37848,"Resident Population Aged 15 Years and Over",30205,79.8061,7643,20.1939,,,,6.13625,,,"singstat-ct-8628-planning-area-religion-2010|data-gov-sg-d-773f010a4eaae0ce6d81cbe78d251642","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2008-ura-mp2008","planning_area","sg-pa-2008-ura-mp2008:NT","NT","Newton",2010,4713,"Resident Population Aged 15 Years and Over",3592,76.2147,1121,23.7853,,,,2.068722,,,"singstat-ct-8628-planning-area-religion-2010|data-gov-sg-d-773f010a4eaae0ce6d81cbe78d251642","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2008-ura-mp2008","planning_area","sg-pa-2008-ura-mp2008:NV","NV","Novena",2010,38122,"Resident Population Aged 15 Years and Over",30658,80.4208,7464,19.5792,,,,8.979545,,,"singstat-ct-8628-planning-area-religion-2010|data-gov-sg-d-773f010a4eaae0ce6d81cbe78d251642","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2008-ura-mp2008","planning_area","sg-pa-2008-ura-mp2008:OT","OT","Outram",2010,15071,"Resident Population Aged 15 Years and Over",11925,79.1255,3146,20.8745,,,,1.37319,,,"singstat-ct-8628-planning-area-religion-2010|data-gov-sg-d-773f010a4eaae0ce6d81cbe78d251642","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2008-ura-mp2008","planning_area","sg-pa-2008-ura-mp2008:PR","PR","Pasir Ris",2010,107040,"Resident Population Aged 15 Years and Over",90411,84.4647,16629,15.5353,,,,15.810712,,,"singstat-ct-8628-planning-area-religion-2010|data-gov-sg-d-773f010a4eaae0ce6d81cbe78d251642","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2008-ura-mp2008","planning_area","sg-pa-2008-ura-mp2008:PG","PG","Punggol",2010,46364,"Resident Population Aged 15 Years and Over",37977,81.9105,8387,18.0895,,,,9.379969,,,"singstat-ct-8628-planning-area-religion-2010|data-gov-sg-d-773f010a4eaae0ce6d81cbe78d251642","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2008-ura-mp2008","planning_area","sg-pa-2008-ura-mp2008:QT","QT","Queenstown",2010,81032,"Resident Population Aged 15 Years and Over",64744,79.8993,16288,20.1007,,,,21.508739,,,"singstat-ct-8628-planning-area-religion-2010|data-gov-sg-d-773f010a4eaae0ce6d81cbe78d251642","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2008-ura-mp2008","planning_area","sg-pa-2008-ura-mp2008:RV","RV","River Valley",2010,6490,"Resident Population Aged 15 Years and Over",4970,76.5794,1520,23.4206,,,,1.474949,,,"singstat-ct-8628-planning-area-religion-2010|data-gov-sg-d-773f010a4eaae0ce6d81cbe78d251642","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
