priority,category,id,name,religion,denomination,address,amenity,building,country_code,lat,lng,tags_raw
1,generic_worship_label,w1086030686,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-45.38207753333333,170.42723874444445,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w1097886833,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-37.056804955555556,174.95676781666668,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w1100789591,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-39.02387609090909,177.39437458181817,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w1101443073,Christian Place of Worship,christian,,,,,NZ,-37.70116732,176.15738546,"{""religion"": ""christian""}"
1,generic_worship_label,w110892198,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-36.97236598,174.84402486000002,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w1162044955,Christian Place of Worship,christian,,,,,NZ,-37.687550075,176.10920627500002,"{""religion"": ""christian""}"
1,generic_worship_label,w1201555829,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-35.831451828571424,174.04573412857144,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w1217000545,Christian Place of Worship,christian,,,,,NZ,-39.94700972,175.1450419,"{""religion"": ""christian""}"
1,generic_worship_label,w1221701985,Christian Place of Worship,christian,,,,,NZ,-39.42772436,174.14872788,"{""religion"": ""christian""}"
1,generic_worship_label,w1263367299,Christian Place of Worship,christian,,,,,NZ,-46.89997758888889,168.12853966666665,"{""religion"": ""christian""}"
1,generic_worship_label,w1263662055,Christian Place of Worship,christian,,,,,NZ,-46.896502983333335,168.12982848333334,"{""religion"": ""christian""}"
1,generic_worship_label,w1285783223,Christian Place of Worship,christian,,,,,NZ,-43.508052311111115,172.63086855555557,"{""religion"": ""christian""}"
1,generic_worship_label,w128973961,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-36.797935018749996,174.752513475,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w1311649498,Christian Place of Worship,christian,,,,,NZ,-43.48372162857142,172.56836807142855,"{""religion"": ""christian""}"
1,generic_worship_label,w1315621914,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-35.677223088888894,174.3412846,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w1333333885,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-36.88399635555555,174.86010016666668,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w1365681815,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-43.53147159411765,172.6574472882353,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w220083043,Christian Place of Worship,christian,,"16 Hinemoa Street, Paraparaumu, 5032",,yes,NZ,-40.915915261538466,175.00927683076924,"{""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w220085389,Christian Place of Worship,christian,,"151 Mazengarb Rd, Wellington, 5032",,yes,NZ,-40.88792857777778,175.00521456666667,"{""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w221172556,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-39.928676315384614,175.03881644615382,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w221321809,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-39.92139177142857,175.0235170642857,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w221658773,Christian Place of Worship,christian,,4 Kingsford Smith Place,place_of_worship,yes,NZ,-36.97987234,174.78138426,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w258588492,Christian Place of Worship,christian,,"25 Woodland Avenue, Motueka, 7120",place_of_worship,,NZ,-41.11780534375,173.01336685,"{""amenity"": ""place_of_worship"", ""religion"": ""christian""}"
1,generic_worship_label,w262331791,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-36.91897665454545,174.78672276363636,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w300886136,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-36.84795032727273,174.65085105454546,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w319361196,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-36.89894932631579,174.8251942894737,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w326702216,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-36.91273058,174.8686783,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w328929167,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-36.978976133333326,174.86461728,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w330026827,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-36.96273352,174.86870796,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w334277734,Christian Place of Worship,christian,,"2 Harrington Avenue, Pukekohe, 2120",place_of_worship,yes,NZ,-37.20028507777778,174.89983501111112,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w334292962,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-37.199925300000004,174.89683234,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w338266660,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-37.04192206296296,174.92000584444446,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w338904324,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-36.60132997777778,174.65857157777776,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w339905011,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-36.90848411111111,174.63645733333334,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w340785545,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-38.1341911,176.25185123333335,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w343442421,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-38.21716386,175.868893,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w357115028,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-39.47238628,175.6742255,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w357115029,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-39.4780752,175.67004889999998,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w358827233,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-37.78559544,176.32511414,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w358827319,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-37.78340171666667,176.3269294,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w364333750,Christian Place of Worship,christian,,Poike Road,place_of_worship,yes,NZ,-37.73727472857143,176.15326559285717,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w368880021,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-40.36483024444445,175.63795944444442,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w370661529,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-39.930225973913046,175.04922047391304,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w371344765,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-39.33724268888889,174.28569394444446,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w372296286,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-39.0376493,177.41697104444447,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w374226186,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-40.94647734,175.67608004000002,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w382207476,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-45.8618113,170.48039346000002,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w384923499,Christian Place of Worship,christian,,,,,NZ,-45.01918165,168.7322446,"{""religion"": ""christian""}"
1,generic_worship_label,w390356751,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-41.26010413333333,174.94069872222224,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w394292965,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-43.67020181111111,172.56367733333335,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w396336797,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-41.17867882,174.8258037,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w398684741,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-41.51030073846154,173.95364984615387,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w399259025,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-35.04373976,173.79035144,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w408811405,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-44.256206,171.27419795999998,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w410428382,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-41.30407276,173.23494962,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w412570824,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-44.39740236,171.24965238,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w417168483,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-43.89559058,168.9248853,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
