province,census_year,religion_label_source,religion_label_normalised,count,derivation
Tafea,2020,Churches of Christ,church_of_christ,1230,province (rural) as published
Tafea,2020,Assemblies of God (AOG),assemblies_of_god,3377,province (rural) as published
Tafea,2020,Neil Thomas Ministry / Inner Life Ministry,neil_thomas_ministry,1149,province (rural) as published
Tafea,2020,Customary beliefs,customary_beliefs,7757,province (rural) as published
Tafea,2020,Apostolic,apostolic,944,province (rural) as published
Tafea,2020,Latter Day Saints (Mormon),latter_day_saints,1457,province (rural) as published
Tafea,2020,Other churches,other,6105,province (rural) as published
Tafea,2020,No Religion/Faith,no_religion,2566,province (rural) as published
Tafea,2020,Refuse to answer,refuse_to_answer,50,province (rural) as published
Tafea,2020,Not Stated,not_stated,1,province (rural) as published
