geography,geo_level,province,census_year,religion_label_source,religion_label_normalised,count
Kwakea,island,Torba,2009,SDA,seventh_day_adventist,0
Kwakea,island,Torba,2009,Church of Christ,church_of_christ,0
Kwakea,island,Torba,2009,AOG,assemblies_of_god,0
Kwakea,island,Torba,2009,NTM,neil_thomas_ministry,0
Kwakea,island,Torba,2009,Apostolic,apostolic,0
Kwakea,island,Torba,2009,Others,other,0
Kwakea,island,Torba,2009,Customary beliefs,customary_beliefs,0
Kwakea,island,Torba,2009,No religion,no_religion,0
Kwakea,island,Torba,2009,Refuse to answer,refuse_to_answer,0
Loh,island,Torba,2009,Total,total,210
Loh,island,Torba,2009,Anglican,anglican,206
Loh,island,Torba,2009,Presbyterian,presbyterian,0
Loh,island,Torba,2009,Catholic,catholic,1
Loh,island,Torba,2009,SDA,seventh_day_adventist,3
Loh,island,Torba,2009,Church of Christ,church_of_christ,0
Loh,island,Torba,2009,AOG,assemblies_of_god,0
Loh,island,Torba,2009,NTM,neil_thomas_ministry,0
Loh,island,Torba,2009,Apostolic,apostolic,0
Loh,island,Torba,2009,Others,other,0
Loh,island,Torba,2009,Customary beliefs,customary_beliefs,0
Loh,island,Torba,2009,No religion,no_religion,0
Loh,island,Torba,2009,Refuse to answer,refuse_to_answer,0
Merelava,island,Torba,2009,Total,total,647
Merelava,island,Torba,2009,Anglican,anglican,501
Merelava,island,Torba,2009,Presbyterian,presbyterian,0
Merelava,island,Torba,2009,Catholic,catholic,9
Merelava,island,Torba,2009,SDA,seventh_day_adventist,1
Merelava,island,Torba,2009,Church of Christ,church_of_christ,17
Merelava,island,Torba,2009,AOG,assemblies_of_god,0
Merelava,island,Torba,2009,NTM,neil_thomas_ministry,74
Merelava,island,Torba,2009,Apostolic,apostolic,0
Merelava,island,Torba,2009,Others,other,45
Merelava,island,Torba,2009,Customary beliefs,customary_beliefs,0
Merelava,island,Torba,2009,No religion,no_religion,0
Merelava,island,Torba,2009,Refuse to answer,refuse_to_answer,0
Merig,island,Torba,2009,Total,total,12
Merig,island,Torba,2009,Anglican,anglican,10
Merig,island,Torba,2009,Presbyterian,presbyterian,0
Merig,island,Torba,2009,Catholic,catholic,0
Merig,island,Torba,2009,SDA,seventh_day_adventist,0
Merig,island,Torba,2009,Church of Christ,church_of_christ,2
Merig,island,Torba,2009,AOG,assemblies_of_god,0
Merig,island,Torba,2009,NTM,neil_thomas_ministry,0
Merig,island,Torba,2009,Apostolic,apostolic,0
Merig,island,Torba,2009,Others,other,0
Merig,island,Torba,2009,Customary beliefs,customary_beliefs,0
Merig,island,Torba,2009,No religion,no_religion,0
Merig,island,Torba,2009,Refuse to answer,refuse_to_answer,0
Metoma,island,Torba,2009,Total,total,13
Metoma,island,Torba,2009,Anglican,anglican,13
Metoma,island,Torba,2009,Presbyterian,presbyterian,0
Metoma,island,Torba,2009,Catholic,catholic,0
Metoma,island,Torba,2009,SDA,seventh_day_adventist,0
Metoma,island,Torba,2009,Church of Christ,church_of_christ,0
Metoma,island,Torba,2009,AOG,assemblies_of_god,0
Metoma,island,Torba,2009,NTM,neil_thomas_ministry,0
Metoma,island,Torba,2009,Apostolic,apostolic,0
Metoma,island,Torba,2009,Others,other,0
Metoma,island,Torba,2009,Customary beliefs,customary_beliefs,0
Metoma,island,Torba,2009,No religion,no_religion,0
Metoma,island,Torba,2009,Refuse to answer,refuse_to_answer,0
Mota,island,Torba,2009,Total,total,683
Mota,island,Torba,2009,Anglican,anglican,607
Mota,island,Torba,2009,Presbyterian,presbyterian,0
Mota,island,Torba,2009,Catholic,catholic,2
Mota,island,Torba,2009,SDA,seventh_day_adventist,9
Mota,island,Torba,2009,Church of Christ,church_of_christ,0
Mota,island,Torba,2009,AOG,assemblies_of_god,65
Mota,island,Torba,2009,NTM,neil_thomas_ministry,0
Mota,island,Torba,2009,Apostolic,apostolic,0
Mota,island,Torba,2009,Others,other,0
Mota,island,Torba,2009,Customary beliefs,customary_beliefs,0
Mota,island,Torba,2009,No religion,no_religion,0
Mota,island,Torba,2009,Refuse to answer,refuse_to_answer,0
Motalava,island,Torba,2009,Total,total,1451
Motalava,island,Torba,2009,Anglican,anglican,771
Motalava,island,Torba,2009,Presbyterian,presbyterian,13
Motalava,island,Torba,2009,Catholic,catholic,4
Motalava,island,Torba,2009,SDA,seventh_day_adventist,143
Motalava,island,Torba,2009,Church of Christ,church_of_christ,1
Motalava,island,Torba,2009,AOG,assemblies_of_god,136
Motalava,island,Torba,2009,NTM,neil_thomas_ministry,6
Motalava,island,Torba,2009,Apostolic,apostolic,1
Motalava,island,Torba,2009,Others,other,361
Motalava,island,Torba,2009,Customary beliefs,customary_beliefs,13
Motalava,island,Torba,2009,No religion,no_religion,0
Motalava,island,Torba,2009,Refuse to answer,refuse_to_answer,2
Rah,island,Torba,2009,Total,total,189
Rah,island,Torba,2009,Anglican,anglican,78
Rah,island,Torba,2009,Presbyterian,presbyterian,0
Rah,island,Torba,2009,Catholic,catholic,0
Rah,island,Torba,2009,SDA,seventh_day_adventist,18
Rah,island,Torba,2009,Church of Christ,church_of_christ,0
Rah,island,Torba,2009,AOG,assemblies_of_god,66
Rah,island,Torba,2009,NTM,neil_thomas_ministry,0
Rah,island,Torba,2009,Apostolic,apostolic,0
Rah,island,Torba,2009,Others,other,27
Rah,island,Torba,2009,Customary beliefs,customary_beliefs,0
Rah,island,Torba,2009,No religion,no_religion,0
Rah,island,Torba,2009,Refuse to answer,refuse_to_answer,0
Tegua,island,Torba,2009,Total,total,58
Tegua,island,Torba,2009,Anglican,anglican,58
Tegua,island,Torba,2009,Presbyterian,presbyterian,0
Tegua,island,Torba,2009,Catholic,catholic,0
Tegua,island,Torba,2009,SDA,seventh_day_adventist,0
Tegua,island,Torba,2009,Church of Christ,church_of_christ,0
Tegua,island,Torba,2009,AOG,assemblies_of_god,0
Tegua,island,Torba,2009,NTM,neil_thomas_ministry,0
Tegua,island,Torba,2009,Apostolic,apostolic,0
Tegua,island,Torba,2009,Others,other,0
Tegua,island,Torba,2009,Customary beliefs,customary_beliefs,0
Tegua,island,Torba,2009,No religion,no_religion,0
Tegua,island,Torba,2009,Refuse to answer,refuse_to_answer,0
Toga,island,Torba,2009,Total,total,276
Toga,island,Torba,2009,Anglican,anglican,276
Toga,island,Torba,2009,Presbyterian,presbyterian,0
Toga,island,Torba,2009,Catholic,catholic,0
