geography,geo_level,province,census_year,religion_label_source,religion_label_normalised,count
Torres,area_council,Torba,2020,Churches of Christ,church_of_christ,6
Torres,area_council,Torba,2020,Assemblies of God (AOG),assemblies_of_god,2
Torres,area_council,Torba,2020,Neil Thomas Ministry / Inner Life Ministry,neil_thomas_ministry,0
Torres,area_council,Torba,2020,Customary beliefs,customary_beliefs,0
Torres,area_council,Torba,2020,Apostolic,apostolic,0
Torres,area_council,Torba,2020,Latter Day Saints (Mormon),latter_day_saints,0
Torres,area_council,Torba,2020,Other churches,other,7
Torres,area_council,Torba,2020,No Religion/Faith,no_religion,3
Torres,area_council,Torba,2020,Refuse to answer,refuse_to_answer,0
Torres,area_council,Torba,2020,Not Stated,not_stated,0
Ureparapara,area_council,Torba,2020,Total,total,466
Ureparapara,area_council,Torba,2020,Presbyterian,presbyterian,1
Ureparapara,area_council,Torba,2020,Seventh Day Adventist (SDA),seventh_day_adventist,14
Ureparapara,area_council,Torba,2020,Catholic,catholic,1
Ureparapara,area_council,Torba,2020,Anglican,anglican,437
Ureparapara,area_council,Torba,2020,Churches of Christ,church_of_christ,0
Ureparapara,area_council,Torba,2020,Assemblies of God (AOG),assemblies_of_god,3
Ureparapara,area_council,Torba,2020,Neil Thomas Ministry / Inner Life Ministry,neil_thomas_ministry,7
Ureparapara,area_council,Torba,2020,Customary beliefs,customary_beliefs,0
Ureparapara,area_council,Torba,2020,Apostolic,apostolic,2
Ureparapara,area_council,Torba,2020,Latter Day Saints (Mormon),latter_day_saints,0
Ureparapara,area_council,Torba,2020,Other churches,other,1
Ureparapara,area_council,Torba,2020,No Religion/Faith,no_religion,0
Ureparapara,area_council,Torba,2020,Refuse to answer,refuse_to_answer,0
Ureparapara,area_council,Torba,2020,Not Stated,not_stated,0
Motalava,area_council,Torba,2020,Total,total,1689
Motalava,area_council,Torba,2020,Presbyterian,presbyterian,2
Motalava,area_council,Torba,2020,Seventh Day Adventist (SDA),seventh_day_adventist,182
Motalava,area_council,Torba,2020,Catholic,catholic,2
Motalava,area_council,Torba,2020,Anglican,anglican,927
Motalava,area_council,Torba,2020,Churches of Christ,church_of_christ,7
