"gisjoin","year","boundary_year","area_name","source_area_name","state_name","state_code","county_name","county_code","population_total","population_reference_year","church_or_edifice_count","church_count_basis","church_seating_count","church_seating_per_100_population","churches_or_edifices_per_10000_residents","church_property_value","member_count","members_per_100_population","land_area_sq_km","quality_flag"
"G3400210",1870,1870,"Mercer, New Jersey","Mercer","New Jersey","340","Mercer","0210",46386,1870,68,"total religious edifices from NHGIS table NT44 (AK8001)",31375,67.6389,14.6596,1061200,,,590.62,"wave_coverage_differs"
"G3901070",1870,1870,"Mercer, Ohio","Mercer","Ohio","390","Mercer","1070",17254,1870,29,"total religious edifices from NHGIS table NT44 (AK8001)",9900,57.378,16.8077,96500,,,1226.16,"wave_coverage_differs"
"G4200850",1870,1870,"Mercer, Pennsylvania","Mercer","Pennsylvania","420","Mercer","0850",49977,1870,93,"total religious edifices from NHGIS table NT44 (AK8001)",30260,60.5479,18.6086,391900,,,1767.92,"wave_coverage_differs"
"G5400550",1870,1870,"Mercer, West Virginia","Mercer","West Virginia","540","Mercer","0550",7064,1870,11,"total religious edifices from NHGIS table NT44 (AK8001)",2900,41.0532,15.5719,3000,,,1790.92,"wave_coverage_differs"
"G1301990",1870,1870,"Meriwether, Georgia","Meriwether","Georgia","130","Meriwether","1990",13756,1870,28,"total religious edifices from NHGIS table NT44 (AK8001)",5675,41.2547,20.3548,16250,,,1309.05,"wave_coverage_differs"
"G3101210",1870,1870,"Merrick, Nebraska","Merrick","Nebraska","310","Merrick","1210",557,1870,0,"total religious edifices from NHGIS table NT44 (AK8001)",0,0,0,0,,,1281.03,"wave_coverage_differs"
"G3300130",1870,1870,"Merrimack, New Hampshire","Merrimack","New Hampshire","330","Merrimack","0130",42151,1870,75,"total religious edifices from NHGIS table NT44 (AK8001)",25083,59.5075,17.7932,501500,,,2477.17,"wave_coverage_differs"
"G2101690",1870,1870,"Metcalfe, Kentucky","Metcalfe","Kentucky","210","Metcalfe","1690",7934,1870,34,"total religious edifices from NHGIS table NT44 (AK8001)",4250,53.5669,42.8535,6800,,,759.93,"wave_coverage_differs"
"G1801030",1870,1870,"Miami, Indiana","Miami","Indiana","180","Miami","1030",21052,1870,41,"total religious edifices from NHGIS table NT44 (AK8001)",10125,48.0952,19.4756,142800,,,977.43,"wave_coverage_differs"
"G2001210",1870,1870,"Miami, Kansas","Miami","Kansas","200","Miami","1210",11725,1870,7,"total religious edifices from NHGIS table NT44 (AK8001)",1375,11.7271,5.9701,23100,,,1528.8,"wave_coverage_differs"
"G3901090",1870,1870,"Miami, Ohio","Miami","Ohio","390","Miami","1090",32740,1870,85,"total religious edifices from NHGIS table NT44 (AK8001)",29950,91.4783,25.9621,380000,,,1060.98,"wave_coverage_differs"
"G0900070",1870,1870,"Middlesex, Connecticut","Middlesex","Connecticut","090","Middlesex","0070",36099,1870,78,"total religious edifices from NHGIS table NT44 (AK8001)",25552,70.7831,21.6072,797012,,,991.48,"wave_coverage_differs"
"G2500170",1870,1870,"Middlesex, Massachusetts","Middlesex","Massachusetts","250","Middlesex","0170",274353,1870,288,"total religious edifices from NHGIS table NT44 (AK8001)",144260,52.5819,10.4974,4397990,,,2206.09,"wave_coverage_differs"
"G3400230",1870,1870,"Middlesex, New Jersey","Middlesex","New Jersey","340","Middlesex","0230",45029,1870,62,"total religious edifices from NHGIS table NT44 (AK8001)",29700,65.9575,13.7689,950500,,,813.78,"wave_coverage_differs"
"G5101190",1870,1870,"Middlesex, Virginia","Middlesex","Virginia","510","Middlesex","1190",4981,1870,12,"total religious edifices from NHGIS table NT44 (AK8001)",3650,73.2785,24.0915,12700,,,340.45,"wave_coverage_differs"
"G2601110",1870,1870,"Midland, Michigan","Midland","Michigan","260","Midland","1110",3285,1870,5,"total religious edifices from NHGIS table NT44 (AK8001)",1800,54.7945,15.2207,24600,,,1367.69,"wave_coverage_differs"
"G4200870",1870,1870,"Mifflin, Pennsylvania","Mifflin","Pennsylvania","420","Mifflin","0870",17508,1870,33,"total religious edifices from NHGIS table NT44 (AK8001)",11150,63.6852,18.8485,126200,,,1073.92,"wave_coverage_differs"
"G4803310",1870,1870,"Milam, Texas","Milam","Texas","480","Milam","3310",8984,1870,6,"total religious edifices from NHGIS table NT44 (AK8001)",1900,21.1487,6.6785,6500,,,2646.41,"wave_coverage_differs"
"G4950375",1870,1870,"Millard, Utah Territory","Millard","Utah Territory","495","Millard","0375",2753,1870,6,"total religious edifices from NHGIS table NT44 (AK8001)",1400,50.8536,21.7944,6600,,,17635.19,"wave_coverage_differs"
"G2700950",1870,1870,"Mille Lacs, Minnesota","Mille Lacs","Minnesota","270","Mille Lacs","0950",1109,1870,1,"total religious edifices from NHGIS table NT44 (AK8001)",150,13.5257,9.0171,1000,,,1765.31,"wave_coverage_differs"
"G1302010",1870,1870,"Miller, Georgia","Miller","Georgia","130","Miller","2010",3091,1870,10,"total religious edifices from NHGIS table NT44 (AK8001)",2600,84.1152,32.352,4900,,,703.22,"wave_coverage_differs"
"G2901310",1870,1870,"Miller, Missouri","Miller","Missouri","290","Miller","1310",6616,1870,9,"total religious edifices from NHGIS table NT44 (AK8001)",4200,63.4825,13.6034,8200,,,1565.7,"wave_coverage_differs"
"G1901290",1870,1870,"Mills, Iowa","Mills","Iowa","190","Mills","1290",8718,1870,6,"total religious edifices from NHGIS table NT44 (AK8001)",1150,13.1911,6.8823,19800,,,1141.3,"wave_coverage_differs"
"G1302015",1870,1870,"Milton, Georgia","Milton","Georgia","130","Milton","2015",4284,1870,18,"total religious edifices from NHGIS table NT44 (AK8001)",7300,170.4015,42.0168,5600,,,376.19,"wave_coverage_differs"
"G5500790",1870,1870,"Milwaukee, Wisconsin","Milwaukee","Wisconsin","550","Milwaukee","0790",89930,1870,79,"total religious edifices from NHGIS table NT44 (AK8001)",30860,34.3156,8.7846,672625,,,628.32,"wave_coverage_differs"
"G5400570",1870,1870,"Mineral, West Virginia","Mineral","West Virginia","540","Mineral","0570",6332,1870,21,"total religious edifices from NHGIS table NT44 (AK8001)",4825,76.2003,33.1649,26535,,,953.16,"wave_coverage_differs"
"G0951195",1870,1870,"Minnehaha, Dakota Territory","Minnehaha","Dakota Territory","095","Minnehaha","1195",355,1870,,"total religious edifices from NHGIS table NT44 (AK8001)",,,,,,,3647.89,"wave_coverage_differs"
"G2601130",1870,1870,"Missaukee, Michigan","Missaukee","Michigan","260","Missaukee","1130",130,1870,,"total religious edifices from NHGIS table NT44 (AK8001)",,,,,,,1486.35,"wave_coverage_differs"
"G0500930",1870,1870,"Mississippi, Arkansas","Mississippi","Arkansas","050","Mississippi","0930",3633,1870,2,"total religious edifices from NHGIS table NT44 (AK8001)",200,5.5051,5.5051,2000,,,2382.35,"wave_coverage_differs"
"G2901330",1870,1870,"Mississippi, Missouri","Mississippi","Missouri","290","Mississippi","1330",4982,1870,25,"total religious edifices from NHGIS table NT44 (AK8001)",7000,140.5058,50.1807,50000,,,1109.21,"wave_coverage_differs"
"G3050235",1870,1870,"Missoula, Montana Territory","Missoula","Montana Territory","305","Missoula","0235",2554,1870,2,"total religious edifices from NHGIS table NT44 (AK8001)",700,27.408,7.8309,60000,,,50570.92,"wave_coverage_differs"
"G1302050",1870,1870,"Mitchell, Georgia","Mitchell","Georgia","130","Mitchell","2050",6633,1870,17,"total religious edifices from NHGIS table NT44 (AK8001)",4250,64.0736,25.6294,5300,,,1331.87,"wave_coverage_differs"
"G1901310",1870,1870,"Mitchell, Iowa","Mitchell","Iowa","190","Mitchell","1310",9582,1870,7,"total religious edifices from NHGIS table NT44 (AK8001)",1820,18.9939,7.3054,22200,,,1216.17,"wave_coverage_differs"
"G2001230",1870,1870,"Mitchell, Kansas","Mitchell","Kansas","200","Mitchell","1230",485,1870,0,"total religious edifices from NHGIS table NT44 (AK8001)",0,0,0,0,,,1862.61,"wave_coverage_differs"
"G3701210",1870,1870,"Mitchell, North Carolina","Mitchell","North Carolina","370","Mitchell","1210",4705,1870,23,"total religious edifices from NHGIS table NT44 (AK8001)",4500,95.6429,48.8842,2450,,,738.46,"wave_coverage_differs"
"G0100970",1870,1870,"Mobile, Alabama","Mobile","Alabama","010","Mobile","0970",49311,1870,68,"total religious edifices from NHGIS table NT44 (AK8001)",33155,67.2365,13.79,711290,,,3222.34,"wave_coverage_differs"
