"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"LI","li-municipality-2021-llv-hoheitsgrenzen","municipality","li-municipality-2021-llv-hoheitsgrenzen:7001","7001","Vaduz",2015,5435,"Full-enumeration census affiliation table total for the permanent population; Ohne Angabe remains in the denominator.",4763,87.6357,499,9.1812,,,,17.3154,,,"statistik-li-census-2015-population-structure|llv-hoheitsgrenzen-municipality-2021","full_enumeration_census_affiliation;source_categories_as_published;not_stated_in_denominator;exact_municipality_national_reconciliation;current_2021_boundary_frame"
"LI","li-municipality-2021-llv-hoheitsgrenzen","municipality","li-municipality-2021-llv-hoheitsgrenzen:7002","7002","Triesen",2015,5051,"Full-enumeration census affiliation table total for the permanent population; Ohne Angabe remains in the denominator.",4456,88.2202,408,8.0776,,,,26.4838,,,"statistik-li-census-2015-population-structure|llv-hoheitsgrenzen-municipality-2021","full_enumeration_census_affiliation;source_categories_as_published;not_stated_in_denominator;exact_municipality_national_reconciliation;current_2021_boundary_frame"
"LI","li-municipality-2021-llv-hoheitsgrenzen","municipality","li-municipality-2021-llv-hoheitsgrenzen:7003","7003","Balzers",2015,4608,"Full-enumeration census affiliation table total for the permanent population; Ohne Angabe remains in the denominator.",4239,91.9922,229,4.9696,,,,19.7306,,,"statistik-li-census-2015-population-structure|llv-hoheitsgrenzen-municipality-2021","full_enumeration_census_affiliation;source_categories_as_published;not_stated_in_denominator;exact_municipality_national_reconciliation;current_2021_boundary_frame"
"LI","li-municipality-2021-llv-hoheitsgrenzen","municipality","li-municipality-2021-llv-hoheitsgrenzen:7004","7004","Triesenberg",2015,2608,"Full-enumeration census affiliation table total for the permanent population; Ohne Angabe remains in the denominator.",2362,90.5675,157,6.0199,,,,29.6885,,,"statistik-li-census-2015-population-structure|llv-hoheitsgrenzen-municipality-2021","full_enumeration_census_affiliation;source_categories_as_published;not_stated_in_denominator;exact_municipality_national_reconciliation;current_2021_boundary_frame"
"LI","li-municipality-2021-llv-hoheitsgrenzen","municipality","li-municipality-2021-llv-hoheitsgrenzen:7005","7005","Schaan",2015,5994,"Full-enumeration census affiliation table total for the permanent population; Ohne Angabe remains in the denominator.",5335,89.0057,433,7.2239,,,,26.9204,,,"statistik-li-census-2015-population-structure|llv-hoheitsgrenzen-municipality-2021","full_enumeration_census_affiliation;source_categories_as_published;not_stated_in_denominator;exact_municipality_national_reconciliation;current_2021_boundary_frame"
"LI","li-municipality-2021-llv-hoheitsgrenzen","municipality","li-municipality-2021-llv-hoheitsgrenzen:7006","7006","Planken",2015,446,"Full-enumeration census affiliation table total for the permanent population; Ohne Angabe remains in the denominator.",397,89.0135,35,7.8475,,,,5.3413,,,"statistik-li-census-2015-population-structure|llv-hoheitsgrenzen-municipality-2021","full_enumeration_census_affiliation;source_categories_as_published;not_stated_in_denominator;exact_municipality_national_reconciliation;current_2021_boundary_frame"
"LI","li-municipality-2021-llv-hoheitsgrenzen","municipality","li-municipality-2021-llv-hoheitsgrenzen:7007","7007","Eschen",2015,4411,"Full-enumeration census affiliation table total for the permanent population; Ohne Angabe remains in the denominator.",3983,90.297,269,6.0984,,,,10.381,,,"statistik-li-census-2015-population-structure|llv-hoheitsgrenzen-municipality-2021","full_enumeration_census_affiliation;source_categories_as_published;not_stated_in_denominator;exact_municipality_national_reconciliation;current_2021_boundary_frame"
"LI","li-municipality-2021-llv-hoheitsgrenzen","municipality","li-municipality-2021-llv-hoheitsgrenzen:7008","7008","Mauren",2015,4190,"Full-enumeration census affiliation table total for the permanent population; Ohne Angabe remains in the denominator.",3777,90.1432,268,6.3962,,,,7.4914,,,"statistik-li-census-2015-population-structure|llv-hoheitsgrenzen-municipality-2021","full_enumeration_census_affiliation;source_categories_as_published;not_stated_in_denominator;exact_municipality_national_reconciliation;current_2021_boundary_frame"
"LI","li-municipality-2021-llv-hoheitsgrenzen","municipality","li-municipality-2021-llv-hoheitsgrenzen:7009","7009","Gamprin",2015,1659,"Full-enumeration census affiliation table total for the permanent population; Ohne Angabe remains in the denominator.",1508,90.8981,108,6.5099,,,,6.1881,,,"statistik-li-census-2015-population-structure|llv-hoheitsgrenzen-municipality-2021","full_enumeration_census_affiliation;source_categories_as_published;not_stated_in_denominator;exact_municipality_national_reconciliation;current_2021_boundary_frame"
"LI","li-municipality-2021-llv-hoheitsgrenzen","municipality","li-municipality-2021-llv-hoheitsgrenzen:7010","7010","Ruggell",2015,2156,"Full-enumeration census affiliation table total for the permanent population; Ohne Angabe remains in the denominator.",1997,92.6252,133,6.1688,,,,7.3778,,,"statistik-li-census-2015-population-structure|llv-hoheitsgrenzen-municipality-2021","full_enumeration_census_affiliation;source_categories_as_published;not_stated_in_denominator;exact_municipality_national_reconciliation;current_2021_boundary_frame"
"LI","li-municipality-2021-llv-hoheitsgrenzen","municipality","li-municipality-2021-llv-hoheitsgrenzen:7011","7011","Schellenberg",2015,1064,"Full-enumeration census affiliation table total for the permanent population; Ohne Angabe remains in the denominator.",953,89.5677,84,7.8947,,,,3.5585,,,"statistik-li-census-2015-population-structure|llv-hoheitsgrenzen-municipality-2021","full_enumeration_census_affiliation;source_categories_as_published;not_stated_in_denominator;exact_municipality_national_reconciliation;current_2021_boundary_frame"
"LI","li-municipality-2021-llv-hoheitsgrenzen","municipality","li-municipality-2021-llv-hoheitsgrenzen:7001","7001","Vaduz",2020,5741,"Full-enumeration census affiliation table total for the permanent population; Ohne Angabe remains in the denominator.",4867,84.7762,663,11.5485,,,,17.3154,,,"statistik-li-census-2020-population-structure|llv-hoheitsgrenzen-municipality-2021","full_enumeration_census_affiliation;source_categories_as_published;not_stated_in_denominator;exact_municipality_national_reconciliation;current_2021_boundary_frame"
"LI","li-municipality-2021-llv-hoheitsgrenzen","municipality","li-municipality-2021-llv-hoheitsgrenzen:7002","7002","Triesen",2020,5330,"Full-enumeration census affiliation table total for the permanent population; Ohne Angabe remains in the denominator.",4563,85.6098,547,10.2627,,,,26.4838,,,"statistik-li-census-2020-population-structure|llv-hoheitsgrenzen-municipality-2021","full_enumeration_census_affiliation;source_categories_as_published;not_stated_in_denominator;exact_municipality_national_reconciliation;current_2021_boundary_frame"
"LI","li-municipality-2021-llv-hoheitsgrenzen","municipality","li-municipality-2021-llv-hoheitsgrenzen:7003","7003","Balzers",2020,4684,"Full-enumeration census affiliation table total for the permanent population; Ohne Angabe remains in the denominator.",4143,88.45,360,7.6857,,,,19.7306,,,"statistik-li-census-2020-population-structure|llv-hoheitsgrenzen-municipality-2021","full_enumeration_census_affiliation;source_categories_as_published;not_stated_in_denominator;exact_municipality_national_reconciliation;current_2021_boundary_frame"
"LI","li-municipality-2021-llv-hoheitsgrenzen","municipality","li-municipality-2021-llv-hoheitsgrenzen:7004","7004","Triesenberg",2020,2634,"Full-enumeration census affiliation table total for the permanent population; Ohne Angabe remains in the denominator.",2291,86.978,237,8.9977,,,,29.6885,,,"statistik-li-census-2020-population-structure|llv-hoheitsgrenzen-municipality-2021","full_enumeration_census_affiliation;source_categories_as_published;not_stated_in_denominator;exact_municipality_national_reconciliation;current_2021_boundary_frame"
"LI","li-municipality-2021-llv-hoheitsgrenzen","municipality","li-municipality-2021-llv-hoheitsgrenzen:7005","7005","Schaan",2020,6037,"Full-enumeration census affiliation table total for the permanent population; Ohne Angabe remains in the denominator.",5115,84.7275,650,10.7669,,,,26.9204,,,"statistik-li-census-2020-population-structure|llv-hoheitsgrenzen-municipality-2021","full_enumeration_census_affiliation;source_categories_as_published;not_stated_in_denominator;exact_municipality_national_reconciliation;current_2021_boundary_frame"
"LI","li-municipality-2021-llv-hoheitsgrenzen","municipality","li-municipality-2021-llv-hoheitsgrenzen:7006","7006","Planken",2020,483,"Full-enumeration census affiliation table total for the permanent population; Ohne Angabe remains in the denominator.",413,85.5072,49,10.1449,,,,5.3413,,,"statistik-li-census-2020-population-structure|llv-hoheitsgrenzen-municipality-2021","full_enumeration_census_affiliation;source_categories_as_published;not_stated_in_denominator;exact_municipality_national_reconciliation;current_2021_boundary_frame"
"LI","li-municipality-2021-llv-hoheitsgrenzen","municipality","li-municipality-2021-llv-hoheitsgrenzen:7007","7007","Eschen",2020,4523,"Full-enumeration census affiliation table total for the permanent population; Ohne Angabe remains in the denominator.",3955,87.442,387,8.5563,,,,10.381,,,"statistik-li-census-2020-population-structure|llv-hoheitsgrenzen-municipality-2021","full_enumeration_census_affiliation;source_categories_as_published;not_stated_in_denominator;exact_municipality_national_reconciliation;current_2021_boundary_frame"
"LI","li-municipality-2021-llv-hoheitsgrenzen","municipality","li-municipality-2021-llv-hoheitsgrenzen:7008","7008","Mauren",2020,4424,"Full-enumeration census affiliation table total for the permanent population; Ohne Angabe remains in the denominator.",3825,86.4602,374,8.4539,,,,7.4914,,,"statistik-li-census-2020-population-structure|llv-hoheitsgrenzen-municipality-2021","full_enumeration_census_affiliation;source_categories_as_published;not_stated_in_denominator;exact_municipality_national_reconciliation;current_2021_boundary_frame"
"LI","li-municipality-2021-llv-hoheitsgrenzen","municipality","li-municipality-2021-llv-hoheitsgrenzen:7009","7009","Gamprin",2020,1686,"Full-enumeration census affiliation table total for the permanent population; Ohne Angabe remains in the denominator.",1451,86.0617,179,10.6168,,,,6.1881,,,"statistik-li-census-2020-population-structure|llv-hoheitsgrenzen-municipality-2021","full_enumeration_census_affiliation;source_categories_as_published;not_stated_in_denominator;exact_municipality_national_reconciliation;current_2021_boundary_frame"
"LI","li-municipality-2021-llv-hoheitsgrenzen","municipality","li-municipality-2021-llv-hoheitsgrenzen:7010","7010","Ruggell",2020,2404,"Full-enumeration census affiliation table total for the permanent population; Ohne Angabe remains in the denominator.",2147,89.3095,201,8.3611,,,,7.3778,,,"statistik-li-census-2020-population-structure|llv-hoheitsgrenzen-municipality-2021","full_enumeration_census_affiliation;source_categories_as_published;not_stated_in_denominator;exact_municipality_national_reconciliation;current_2021_boundary_frame"
"LI","li-municipality-2021-llv-hoheitsgrenzen","municipality","li-municipality-2021-llv-hoheitsgrenzen:7011","7011","Schellenberg",2020,1109,"Full-enumeration census affiliation table total for the permanent population; Ohne Angabe remains in the denominator.",981,88.4581,104,9.3778,,,,3.5585,,,"statistik-li-census-2020-population-structure|llv-hoheitsgrenzen-municipality-2021","full_enumeration_census_affiliation;source_categories_as_published;not_stated_in_denominator;exact_municipality_national_reconciliation;current_2021_boundary_frame"
