"area_code","area_name","land_area_sq_km","year","category","count"
"111400","Sandspit",22.25221069,2013,"No Religion",405
"111500","Tawharanui Peninsula",46.70381446,2013,"No Religion",759
"111601","Kaukapakapa",5.25956593,2013,"No Religion",288
"111602","Kaukapakapa Rural",90.82829413,2013,"No Religion",738
"111700","Snells Beach",3.82785084,2013,"No Religion",1089
"111801","Barrier Islands",320.27791824,2013,"No Religion",465
"111901","Mahurangi Peninsula",15.34567258,2013,"No Religion",363
"112101","Wainui-Waiwera",62.23902084,2013,"No Religion",609
"112102","Ara Hill",0.36104893,2013,"No Religion",-999
"112200","Parakai",1.45487644,2013,"No Religion",447
"112301","Helensville Rural",56.40727035,2013,"No Religion",630
"112401","Helensville",4.05259391,2013,"No Religion",1239
"112500","Waitoki",40.74911993,2013,"No Religion",618
"112600","Waikoukou Valley",52.86073484,2013,"No Religion",855
"112701","Orewa North",1.52872348,2013,"No Religion",951
"112702","Orewa West",1.5021676,2013,"No Religion",15
"112800","Hatfields Beach",0.92325329,2013,"No Religion",684
"112901","Orewa South",1.3801309,2013,"No Religion",909
"112902","Millwater North",0.93145223,2013,"No Religion",6
"113000","Orewa Central",1.45311509,2013,"No Religion",951
"113101","Millwater Central",1.75242255,2013,"No Religion",324
"113201","Waipatukahu",56.11965179,2013,"No Religion",681
"113300","Millwater South",2.41951633,2013,"No Religion",60
"113401","Milldale",5.21556041,2013,"No Religion",69
"113402","Dairy Flat North",18.76096576,2013,"No Religion",705
"113500","Dairy Flat West",30.981917,2013,"No Religion",591
"113600","Kingsway",0.90236356,2013,"No Religion",699
"113700","Riverhead Forest",48.43089792,2013,"No Religion",-999
"113800","Silverdale Central (Auckland)",3.36054517,2013,"No Religion",105
"113900","Red Beach West",1.84272664,2013,"No Religion",696
"114000","Red Beach East",1.56359609,2013,"No Religion",1596
"114101","Silverdale South (Auckland)",10.41165065,2013,"No Religion",468
"114102","Stillwater",0.44307735,2013,"No Religion",486
"114201","Waimauku",1.44495248,2013,"No Religion",540
"114300","Gulf Islands",66.10814253,2013,"No Religion",48
"114400","Vipond",1.38113817,2013,"No Religion",1191
"114500","Muriwai",3.01508521,2013,"No Religion",612
"114600","Stanmore Bay West",0.98684482,2013,"No Religion",1257
"114701","Kumeū Rural West",24.36410971,2013,"No Religion",735
"114801","Ōkura Bush",28.2660919,2013,"No Religion",531
"114901","Whangaparāoa Central",2.03346721,2013,"No Religion",540
"114902","Wade Heads-Arkles Bay",1.65811062,2013,"No Religion",855
"115001","Kumeū-Huapai North",4.27164795,2013,"No Religion",567
"115002","Kumeū-Huapai South",2.56212027,2013,"No Religion",183
"115100","Stanmore Bay East",1.33763725,2013,"No Religion",1164
"115200","Manly West",1.03257903,2013,"No Religion",981
"115300","Muriwai Valley-Bethells Beach",35.35731483,2013,"No Religion",519
"115400","Tindalls-Matakatia",2.93347824,2013,"No Religion",732
"115501","Coatesville",21.59419555,2013,"No Religion",819
"115601","Dairy Flat South",14.40271263,2013,"No Religion",645
"115700","Gulf Harbour North",1.7570961,2013,"No Religion",1056
"115800","Manly East",1.57463151,2013,"No Religion",1569
"115901","Riverhead",2.15776718,2013,"No Religion",717
"116000","Army Bay",6.21560428,2013,"No Religion",636
"116101","Kumeū Rural East",16.35837104,2013,"No Religion",807
"116200","Gulf Harbour South",2.34493045,2013,"No Religion",729
"116300","Pāremoremo West",9.47697532,2013,"No Religion",366
"116401","Taupaki",25.73018528,2013,"No Religion",651
"116500","Long Bay",2.85259429,2013,"No Religion",66
"116601","Pāremoremo East",14.37044682,2013,"No Religion",1137
"116701","Albany Heights",3.91839853,2013,"No Religion",975
"116801","Awaruku",1.28913473,2013,"No Religion",1323
"116900","Fairview Heights",1.6090451,2013,"No Religion",1206
"117001","Whenuapai",12.75322594,2013,"No Religion",1512
"117002","Whenuapai West",4.2725566,2013,"No Religion",189
"117003","Massey Red Hills",3.43558985,2013,"No Religion",54
"117100","Waitākere Ranges North",86.8052026,2013,"No Religion",621
"117201","Torbay West",0.79570493,2013,"No Religion",1131
"117202","Torbay East",0.87169217,2013,"No Religion",960
"117300","Albany Central",3.20948296,2013,"No Religion",90
"117400","Albany West",2.05719229,2013,"No Religion",987
"117500","Glamorgan",0.95918877,2013,"No Religion",1338
"117600","Oteha East",0.76253067,2013,"No Religion",1053
"117700","Northcross",1.07077622,2013,"No Religion",1404
"117800","Oteha West",0.52951153,2013,"No Religion",549
"117900","Waiake",1.24979644,2013,"No Religion",1596
"118001","Waitākere",14.78962279,2013,"No Religion",882
"118100","Albany South",1.4839885,2013,"No Religion",1299
"118200","Browns Bay South West",1.15126945,2013,"No Religion",1665
"118300","Browns Bay Central",1.1827525,2013,"No Religion",990
"118400","Schnapper Rock",2.21385876,2013,"No Religion",1623
"118501","Pinehill North",0.69739434,2013,"No Religion",693
"118502","Pinehill South",0.93163403,2013,"No Religion",996
"118600","North Harbour",5.48725735,2013,"No Religion",231
"118700","Browns Bay South East",0.85598227,2013,"No Religion",1185
"118800","Westgate Central",1.86366221,2013,"No Religion",24
"118900","Greenhithe West",2.72133515,2013,"No Religion",1653
"119000","Rothesay Bay",0.86492686,2013,"No Religion",1215
"119100","Greenhithe East",1.4399861,2013,"No Religion",1335
"119201","Hobsonville",2.89986904,2013,"No Religion",396
"119301","Inlet Waitemata Harbour",0.05712604,2013,"No Religion",6
"119400","Greenhithe South",3.64438231,2013,"No Religion",609
"119500","Murrays Bay West",0.95731875,2013,"No Religion",996
"119600","Westgate South",1.70943738,2013,"No Religion",480
"119700","Windsor Park",0.83550299,2013,"No Religion",579
"119800","West Harbour West",1.92726583,2013,"No Religion",1527
"119901","Unsworth Heights West",0.82196665,2013,"No Religion",768
"120000","Murrays Bay East",0.69795595,2013,"No Religion",933
"120101","Birdwood West",6.23735435,2013,"No Religion",345
"120201","Hobsonville Point Catalina Bay",1.10356374,2013,"No Religion",21
"120202","Hobsonville Point Park",1.03384572,2013,"No Religion",339
"120203","Hobsonville Scott Point",1.38041946,2013,"No Religion",45
"120301","West Harbour Clearwater Cove",1.10032162,2013,"No Religion",1416
"120400","Unsworth Heights East",1.10831886,2013,"No Religion",1119
"120500","Mairangi Bay North",0.92451937,2013,"No Religion",1176
"120600","Massey Central",0.88378264,2013,"No Religion",978
"120701","West Harbour Luckens Point",1.24071248,2013,"No Religion",1404
"120800","Mairangi Bay South",0.80107653,2013,"No Religion",1125
"120900","Massey Royal Road West",0.89641574,2013,"No Religion",993
"121001","Bayview East (Auckland)",1.37433148,2013,"No Religion",1239
"121100","Swanson Rural",15.14615684,2013,"No Religion",1086
"121200","Sunnynook South",0.80160094,2013,"No Religion",930
"121300","Sunnynook North",0.744465,2013,"No Religion",1149
"121401","Bayview West (Auckland)",0.73396895,2013,"No Religion",885
"121500","Totara Vale North",0.86577248,2013,"No Religion",1032
"121600","Royal Heights North",1.49490895,2013,"No Religion",1218
"121701","Massey West",1.40381382,2013,"No Religion",720
"121800","Beach Haven West",1.20747163,2013,"No Religion",1491
"121901","Totara Vale South",0.82482048,2013,"No Religion",1245
"122001","Swanson",2.09351046,2013,"No Religion",690
"122101","Bayview South (Auckland)",0.93362104,2013,"No Religion",1158
"122200","Campbells Bay",1.7434153,2013,"No Religion",1290
"122300","Royal Heights South",1.13131545,2013,"No Religion",1119
"122400","Beach Haven East",1.12103328,2013,"No Religion",1413
"122501","Massey Keegan",1.14954206,2013,"No Religion",870
"122600","Forrest Hill North",0.73737086,2013,"No Religion",909
"122700","Glenfield North",0.80628077,2013,"No Religion",1056
"122801","Birkdale North",0.75338887,2013,"No Religion",882
"122802","Birkdale Central",0.99231453,2013,"No Religion",1278
"122901","Massey South",1.17123781,2013,"No Religion",1212
"123000","Rānui North",1.02866951,2013,"No Religion",1125
"123100","Glenfield West",0.97074698,2013,"No Religion",960
"123200","Te Atatū Peninsula North West",1.11265303,2013,"No Religion",1239
"123300","Glenfield South West",1.19022397,2013,"No Religion",1539
"123400","Forrest Hill West",1.23523144,2013,"No Religion",1515
"123500","Wairau Valley",2.56363418,2013,"No Religion",57
"123600","Forrest Hill East",0.92449264,2013,"No Religion",1431
"123701","Castor Bay North",0.88710704,2013,"No Religion",957
"123702","Castor Bay South",0.55675524,2013,"No Religion",828
"123800","Rānui Domain",0.87072685,2013,"No Religion",798
"123900","Beach Haven South",1.34269138,2013,"No Religion",1428
"124000","Glenfield Central",1.12806195,2013,"No Religion",1314
"124100","Piha",5.23828424,2013,"No Religion",453
"124200","Rānui South West",0.73738276,2013,"No Religion",663
"124301","Henderson Larnoch",0.82051784,2013,"No Religion",885
"124401","Birkdale South",1.15820847,2013,"No Religion",1500
"124500","Te Atatū Peninsula Central",1.11341773,2013,"No Religion",1185
"124600","Glenfield East",0.6185098,2013,"No Religion",708
"124700","Henderson Valley",15.03789516,2013,"No Religion",684
"124800","Te Atatū Peninsula West",1.42957316,2013,"No Religion",1500
"124900","Henderson Lincoln West",0.89974357,2013,"No Religion",837
"125000","Rānui South East",0.94471267,2013,"No Religion",573
"125100","Henderson Lincoln East",1.94780034,2013,"No Religion",39
"125201","Birkenhead West",1.04198991,2013,"No Religion",1110
"125202","Birkenhead North West",1.10743846,2013,"No Religion",648
"125300","Te Atatū Peninsula East",1.80792875,2013,"No Religion",1071
"125400","Milford West",0.83398002,2013,"No Religion",1158
"125500","Westlake",0.687026,2013,"No Religion",936
"125600","Hillcrest North (Auckland)",0.98071208,2013,"No Religion",1182
"125701","Henderson Lincoln South",1.5043154,2013,"No Religion",822
"125800","Hillcrest West (Auckland)",0.885679,2013,"No Religion",1314
"125900","Milford Central",0.70474274,2013,"No Religion",741
"126000","Summerland South",1.33401074,2013,"No Religion",1041
"126100","Summerland North",0.8509171,2013,"No Religion",795
"126200","Hillcrest East (Auckland)",1.06390827,2013,"No Religion",1629
"126300","Chatswood",3.06686811,2013,"No Religion",1515
"126401","Te Atatū South-Edmonton",0.9205441,2013,"No Religion",1023
"126500","Birkenhead North",1.01182516,2013,"No Religion",1158
"126601","Takapuna West",2.01122298,2013,"No Religion",993
"126701","Henderson North",0.59171632,2013,"No Religion",516
"126702","Henderson West",1.08658955,2013,"No Religion",912
"126801","Takapuna Central",1.13533378,2013,"No Religion",1116
"126901","Western Heights (Auckland)",1.07360718,2013,"No Religion",1134
"127001","Te Atatū South-North",1.09082719,2013,"No Religion",1041
"127002","Te Atatū South-Central",0.9314278,2013,"No Religion",1056
"127100","Northcote Central (Auckland)",0.68674537,2013,"No Religion",864
"127200","Akoranga",1.16283191,2013,"No Religion",303
"127300","Northcote South (Auckland)",1.13959762,2013,"No Religion",957
"127400","Birkenhead South",1.36168697,2013,"No Religion",1347
"127500","Henderson Central",2.01588459,2013,"No Religion",237
"127601","Waiatarua",11.36501966,2013,"No Religion",1128
"127701","Te Atatū South-McLeod North",0.5822162,2013,"No Religion",795
"127801","Henderson Valley Park",0.96924252,2013,"No Religion",741
"127900","Henderson North East",0.80147005,2013,"No Religion",825
"128000","Waitākere Ranges South",101.55291731,2013,"No Religion",618
"128101","Northcote Tuff Crater",1.1140613,2013,"No Religion",927
"128200","Northcote Point (Auckland)",1.18452559,2013,"No Religion",1299
"128301","McLaren Memorial Park",0.79303037,2013,"No Religion",939
"128401","Henderson East",1.1835778,2013,"No Religion",1197
"128501","Te Atatū South-McLeod South",1.02289821,2013,"No Religion",1212
"128601","Takapuna South",0.71660382,2013,"No Religion",876
"128700","Rosebank Peninsula",2.37007865,2013,"No Religion",-999
"128800","Hauraki",1.09451696,2013,"No Religion",1830
"128901","Glendene North West",0.6593642,2013,"No Religion",585
"128902","Glendene North East",0.74972584,2013,"No Religion",609
"129000","Sunnyvale West-Parrs Park",0.84168195,2013,"No Religion",609
"129101","Sunnyvale East",1.12399631,2013,"No Religion",984
"129201","Point Chevalier West",1.05428102,2013,"No Religion",1143
"129300","Belmont (Auckland)",1.15434825,2013,"No Religion",1353
"129400","Bayswater",1.0969367,2013,"No Religion",1353
"129501","Glendene South",1.10017139,2013,"No Religion",603
"129600","Glen Eden West",1.15463445,2013,"No Religion",1200
"129700","Herne Bay",0.87756532,2013,"No Religion",1293
"129800","Westmere North",0.64508193,2013,"No Religion",1107
"129901","Point Chevalier North",0.72293521,2013,"No Religion",1164
"129902","Point Chevalier East",0.97560374,2013,"No Religion",1377
"130000","Oratia",17.19058978,2013,"No Religion",1125
"130100","Glen Eden Rosier",1.24429955,2013,"No Religion",1170
"130200","Saint Marys Bay",0.83433083,2013,"No Religion",1026
"130300","Westmere South-Western Springs",2.02393904,2013,"No Religion",1656
"130400","Ponsonby West",0.64762941,2013,"No Religion",1068
"130500","Kelston North",0.96688836,2013,"No Religion",588
"130601","Avondale Rosebank (Auckland)",0.94277779,2013,"No Religion",984
"130700","Narrow Neck",1.82262874,2013,"No Religion",1998
"130801","Glen Eden North",1.87659508,2013,"No Religion",681
"130901","Glen Eden Woodglen",0.91700663,2013,"No Religion",1161
"130902","Glen Eden Konini",1.087417,2013,"No Religion",1194
"131000","Kelston South",0.83555751,2013,"No Religion",498
"131100","Waterview",1.12192689,2013,"No Religion",1320
"131200","Ponsonby East",0.70309335,2013,"No Religion",1572
"131300","Wynyard-Viaduct",0.60050702,2013,"No Religion",414
"131400","Stanley Point",0.99163296,2013,"No Religion",1035
"131500","Glen Eden Central",1.24759515,2013,"No Religion",1191
"131600","Grey Lynn North",0.7250584,2013,"No Religion",1644
"131700","Avondale West (Auckland)",0.73969101,2013,"No Religion",1026
"131801","Freemans Bay",0.91649779,2013,"No Religion",1809
"131802","College Hill",0.09885602,2013,"No Religion",345
"131900","Mount Albert West",1.39091615,2013,"No Religion",1122
"132001","Avondale North West (Auckland)",0.82317725,2013,"No Religion",897
"132002","Avondale North East (Auckland)",0.49739009,2013,"No Religion",696
"132100","Grey Lynn West",0.80089425,2013,"No Religion",1332
"132200","Mount Albert North",1.51386857,2013,"No Religion",1695
"132300","New Lynn North",0.74127644,2013,"No Religion",924
"132400","Victoria Park",0.44801712,2013,"No Religion",534
"132501","Konini Road",1.26872116,2013,"No Religion",1056
"132600","New Lynn North West",0.6895664,2013,"No Religion",846
"132700","Hobson Ridge North",0.1492268,2013,"No Religion",864
"132800","Grey Lynn Central",0.7119255,2013,"No Religion",1764
"132900","Fruitvale",0.85211714,2013,"No Religion",921
"133000","Devonport",1.07903066,2013,"No Religion",1698
"133100","Avondale Central (Auckland)",1.11626154,2013,"No Religion",753
"133200","Queen Street",0.16845019,2013,"No Religion",603
"133301","Quay Street-Customs Street",1.21713215,2013,"No Religion",918
"133400","Hobson Ridge Central",0.0633195,2013,"No Religion",1083
"133500","Grey Lynn East",0.57979641,2013,"No Religion",852
"133600","Morningside (Auckland)",1.09391525,2013,"No Religion",1740
"133700","Shortland Street",0.12745542,2013,"No Religion",777
"133800","Hobson Ridge South",0.15651653,2013,"No Religion",564
"133900","New Lynn Central",1.1817277,2013,"No Religion",45
"134000","Cheltenham",0.81543777,2013,"No Religion",1017
"134100","Queen Street South West",0.22878282,2013,"No Religion",546
"134200","Mount Albert Central",1.31350804,2013,"No Religion",1422
"134301","Karangahape West",0.16918548,2013,"No Religion",261
"134302","Karangahape East",0.11645601,2013,"No Religion",570
"134400","Kingsland",0.77206864,2013,"No Religion",1680
