"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"PT","pt-municipality-caop2021","municipality","pt-municipality-caop2021:0115","0115","Ovar",2011,43871,"population resident aged 15 and over with a stated religion response: INE indicator 0006396 Total minus Não resposta",42018,95.78,1853,4.22,,,,147.7,,,"ine-censos-2011-indicator-0006396|dgt-caop-2021","universe_age15plus;denominator_stated_response;non_response_excluded;category_detail_changes_across_waves"
"PT","pt-municipality-caop2021","municipality","pt-municipality-caop2021:0116","0116","São João da Madeira",2011,17321,"population resident aged 15 and over with a stated religion response: INE indicator 0006396 Total minus Não resposta",16462,95.04,859,4.96,,,,7.94,,,"ine-censos-2011-indicator-0006396|dgt-caop-2021","universe_age15plus;denominator_stated_response;non_response_excluded;category_detail_changes_across_waves"
"PT","pt-municipality-caop2021","municipality","pt-municipality-caop2021:0117","0117","Sever do Vouga",2011,9970,"population resident aged 15 and over with a stated religion response: INE indicator 0006396 Total minus Não resposta",9728,97.57,242,2.43,,,,129.87,,,"ine-censos-2011-indicator-0006396|dgt-caop-2021","universe_age15plus;denominator_stated_response;non_response_excluded;category_detail_changes_across_waves"
"PT","pt-municipality-caop2021","municipality","pt-municipality-caop2021:0118","0118","Vagos",2011,18596,"population resident aged 15 and over with a stated religion response: INE indicator 0006396 Total minus Não resposta",18065,97.14,531,2.86,,,,164.91,,,"ine-censos-2011-indicator-0006396|dgt-caop-2021","universe_age15plus;denominator_stated_response;non_response_excluded;category_detail_changes_across_waves"
"PT","pt-municipality-caop2021","municipality","pt-municipality-caop2021:0119","0119","Vale de Cambra",2011,19291,"population resident aged 15 and over with a stated religion response: INE indicator 0006396 Total minus Não resposta",18967,98.32,324,1.68,,,,147.33,,,"ine-censos-2011-indicator-0006396|dgt-caop-2021","universe_age15plus;denominator_stated_response;non_response_excluded;category_detail_changes_across_waves"
"PT","pt-municipality-caop2021","municipality","pt-municipality-caop2021:0201","0201","Aljustrel",2011,6777,"population resident aged 15 and over with a stated religion response: INE indicator 0006396 Total minus Não resposta",5297,78.16,1480,21.84,,,,458.47,,,"ine-censos-2011-indicator-0006396|dgt-caop-2021","universe_age15plus;denominator_stated_response;non_response_excluded;category_detail_changes_across_waves"
"PT","pt-municipality-caop2021","municipality","pt-municipality-caop2021:0202","0202","Almodôvar",2011,6172,"population resident aged 15 and over with a stated religion response: INE indicator 0006396 Total minus Não resposta",5694,92.26,478,7.74,,,,777.88,,,"ine-censos-2011-indicator-0006396|dgt-caop-2021","universe_age15plus;denominator_stated_response;non_response_excluded;category_detail_changes_across_waves"
"PT","pt-municipality-caop2021","municipality","pt-municipality-caop2021:0203","0203","Alvito",2011,1807,"population resident aged 15 and over with a stated religion response: INE indicator 0006396 Total minus Não resposta",1622,89.76,185,10.24,,,,264.85,,,"ine-censos-2011-indicator-0006396|dgt-caop-2021","universe_age15plus;denominator_stated_response;non_response_excluded;category_detail_changes_across_waves"
"PT","pt-municipality-caop2021","municipality","pt-municipality-caop2021:0204","0204","Barrancos",2011,1292,"population resident aged 15 and over with a stated religion response: INE indicator 0006396 Total minus Não resposta",1185,91.72,107,8.28,,,,168.38,,,"ine-censos-2011-indicator-0006396|dgt-caop-2021","universe_age15plus;denominator_stated_response;non_response_excluded;category_detail_changes_across_waves"
"PT","pt-municipality-caop2021","municipality","pt-municipality-caop2021:0205","0205","Beja",2011,26735,"population resident aged 15 and over with a stated religion response: INE indicator 0006396 Total minus Não resposta",22178,82.95,4557,17.05,,,,1146.46,,,"ine-censos-2011-indicator-0006396|dgt-caop-2021","universe_age15plus;denominator_stated_response;non_response_excluded;category_detail_changes_across_waves"
"PT","pt-municipality-caop2021","municipality","pt-municipality-caop2021:0206","0206","Castro Verde",2011,5606,"population resident aged 15 and over with a stated religion response: INE indicator 0006396 Total minus Não resposta",4509,80.43,1097,19.57,,,,569.44,,,"ine-censos-2011-indicator-0006396|dgt-caop-2021","universe_age15plus;denominator_stated_response;non_response_excluded;category_detail_changes_across_waves"
"PT","pt-municipality-caop2021","municipality","pt-municipality-caop2021:0207","0207","Cuba",2011,3745,"population resident aged 15 and over with a stated religion response: INE indicator 0006396 Total minus Não resposta",3274,87.42,471,12.58,,,,172.09,,,"ine-censos-2011-indicator-0006396|dgt-caop-2021","universe_age15plus;denominator_stated_response;non_response_excluded;category_detail_changes_across_waves"
