"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"MW","mw-district-2020-geoboundaries-adm2","district","mw-district-2020-geoboundaries-adm2:machinga","machinga","Machinga",2018,735438,"table E5 district total (usual residents); every resident is allocated to a denomination or to no religion, so no not-stated residual is excluded",733975,99.8,1463,0.2,,,,3929.35,,,"nso-2018-phc-table-e5-religion-by-district|geoboundaries-mwi-adm2-2020","full_response_denominator;no_not_stated_category_in_source;named_religions_in_religious_affiliation;cities_folded_into_parent_districts"
"MW","mw-district-2020-geoboundaries-adm2","district","mw-district-2020-geoboundaries-adm2:mangochi","mangochi","Mangochi",2018,1148611,"table E5 district total (usual residents); every resident is allocated to a denomination or to no religion, so no not-stated residual is excluded",1145676,99.74,2935,0.26,,,,6726.45,,,"nso-2018-phc-table-e5-religion-by-district|geoboundaries-mwi-adm2-2020","full_response_denominator;no_not_stated_category_in_source;named_religions_in_religious_affiliation;cities_folded_into_parent_districts"
"MW","mw-district-2020-geoboundaries-adm2","district","mw-district-2020-geoboundaries-adm2:mchinji","mchinji","Mchinji",2018,602305,"table E5 district total (usual residents); every resident is allocated to a denomination or to no religion, so no not-stated residual is excluded",588821,97.76,13484,2.24,,,,3146.55,,,"nso-2018-phc-table-e5-religion-by-district|geoboundaries-mwi-adm2-2020","full_response_denominator;no_not_stated_category_in_source;named_religions_in_religious_affiliation;cities_folded_into_parent_districts"
"MW","mw-district-2020-geoboundaries-adm2","district","mw-district-2020-geoboundaries-adm2:mulanje","mulanje","Mulanje",2018,684107,"table E5 district total (usual residents); every resident is allocated to a denomination or to no religion, so no not-stated residual is excluded",677660,99.06,6447,0.94,,,,1999.19,,,"nso-2018-phc-table-e5-religion-by-district|geoboundaries-mwi-adm2-2020","full_response_denominator;no_not_stated_category_in_source;named_religions_in_religious_affiliation;cities_folded_into_parent_districts"
"MW","mw-district-2020-geoboundaries-adm2","district","mw-district-2020-geoboundaries-adm2:mwanza","mwanza","Mwanza",2018,130949,"table E5 district total (usual residents); every resident is allocated to a denomination or to no religion, so no not-stated residual is excluded",124735,95.25,6214,4.75,,,,697.79,,,"nso-2018-phc-table-e5-religion-by-district|geoboundaries-mwi-adm2-2020","full_response_denominator;no_not_stated_category_in_source;named_religions_in_religious_affiliation;cities_folded_into_parent_districts"
"MW","mw-district-2020-geoboundaries-adm2","district","mw-district-2020-geoboundaries-adm2:mzimba","mzimba","Mzimba",2018,1161456,"table E5 district total (usual residents); every resident is allocated to a denomination or to no religion, so no not-stated residual is excluded",1158838,99.77,2618,0.23,,,,10628.75,,,"nso-2018-phc-table-e5-religion-by-district|geoboundaries-mwi-adm2-2020","full_response_denominator;no_not_stated_category_in_source;named_religions_in_religious_affiliation;cities_folded_into_parent_districts"
"MW","mw-district-2020-geoboundaries-adm2","district","mw-district-2020-geoboundaries-adm2:neno","neno","Neno",2018,138291,"table E5 district total (usual residents); every resident is allocated to a denomination or to no religion, so no not-stated residual is excluded",136212,98.5,2079,1.5,,,,1624.73,,,"nso-2018-phc-table-e5-religion-by-district|geoboundaries-mwi-adm2-2020","full_response_denominator;no_not_stated_category_in_source;named_religions_in_religious_affiliation;cities_folded_into_parent_districts"
"MW","mw-district-2020-geoboundaries-adm2","district","mw-district-2020-geoboundaries-adm2:nkhata-bay","nkhata-bay","Nkhata Bay",2018,284681,"table E5 district total (usual residents); every resident is allocated to a denomination or to no religion, so no not-stated residual is excluded",283428,99.56,1253,0.44,,,,4172.92,,,"nso-2018-phc-table-e5-religion-by-district|geoboundaries-mwi-adm2-2020","full_response_denominator;no_not_stated_category_in_source;named_religions_in_religious_affiliation;cities_folded_into_parent_districts"
"MW","mw-district-2020-geoboundaries-adm2","district","mw-district-2020-geoboundaries-adm2:nkhotakota","nkhotakota","Nkhotakota",2018,393077,"table E5 district total (usual residents); every resident is allocated to a denomination or to no religion, so no not-stated residual is excluded",387544,98.59,5533,1.41,,,,4324.76,,,"nso-2018-phc-table-e5-religion-by-district|geoboundaries-mwi-adm2-2020","full_response_denominator;no_not_stated_category_in_source;named_religions_in_religious_affiliation;cities_folded_into_parent_districts"
"MW","mw-district-2020-geoboundaries-adm2","district","mw-district-2020-geoboundaries-adm2:nsanje","nsanje","Nsanje",2018,299168,"table E5 district total (usual residents); every resident is allocated to a denomination or to no religion, so no not-stated residual is excluded",289732,96.85,9436,3.15,,,,1939.19,,,"nso-2018-phc-table-e5-religion-by-district|geoboundaries-mwi-adm2-2020","full_response_denominator;no_not_stated_category_in_source;named_religions_in_religious_affiliation;cities_folded_into_parent_districts"
"MW","mw-district-2020-geoboundaries-adm2","district","mw-district-2020-geoboundaries-adm2:ntcheu","ntcheu","Ntcheu",2018,659608,"table E5 district total (usual residents); every resident is allocated to a denomination or to no religion, so no not-stated residual is excluded",638244,96.76,21364,3.24,,,,3253.65,,,"nso-2018-phc-table-e5-religion-by-district|geoboundaries-mwi-adm2-2020","full_response_denominator;no_not_stated_category_in_source;named_religions_in_religious_affiliation;cities_folded_into_parent_districts"
"MW","mw-district-2020-geoboundaries-adm2","district","mw-district-2020-geoboundaries-adm2:ntchisi","ntchisi","Ntchisi",2018,317069,"table E5 district total (usual residents); every resident is allocated to a denomination or to no religion, so no not-stated residual is excluded",303837,95.83,13232,4.17,,,,1721.36,,,"nso-2018-phc-table-e5-religion-by-district|geoboundaries-mwi-adm2-2020","full_response_denominator;no_not_stated_category_in_source;named_religions_in_religious_affiliation;cities_folded_into_parent_districts"
"MW","mw-district-2020-geoboundaries-adm2","district","mw-district-2020-geoboundaries-adm2:phalombe","phalombe","Phalombe",2018,429450,"table E5 district total (usual residents); every resident is allocated to a denomination or to no religion, so no not-stated residual is excluded",425611,99.11,3839,0.89,,,,1420.74,,,"nso-2018-phc-table-e5-religion-by-district|geoboundaries-mwi-adm2-2020","full_response_denominator;no_not_stated_category_in_source;named_religions_in_religious_affiliation;cities_folded_into_parent_districts"
"MW","mw-district-2020-geoboundaries-adm2","district","mw-district-2020-geoboundaries-adm2:rumphi","rumphi","Rumphi",2018,229161,"table E5 district total (usual residents); every resident is allocated to a denomination or to no religion, so no not-stated residual is excluded",228742,99.82,419,0.18,,,,4654.06,,,"nso-2018-phc-table-e5-religion-by-district|geoboundaries-mwi-adm2-2020","full_response_denominator;no_not_stated_category_in_source;named_religions_in_religious_affiliation;cities_folded_into_parent_districts"
"MW","mw-district-2020-geoboundaries-adm2","district","mw-district-2020-geoboundaries-adm2:salima","salima","Salima",2018,478346,"table E5 district total (usual residents); every resident is allocated to a denomination or to no religion, so no not-stated residual is excluded",465963,97.41,12383,2.59,,,,2145.41,,,"nso-2018-phc-table-e5-religion-by-district|geoboundaries-mwi-adm2-2020","full_response_denominator;no_not_stated_category_in_source;named_religions_in_religious_affiliation;cities_folded_into_parent_districts"
"MW","mw-district-2020-geoboundaries-adm2","district","mw-district-2020-geoboundaries-adm2:thyolo","thyolo","Thyolo",2018,721456,"table E5 district total (usual residents); every resident is allocated to a denomination or to no religion, so no not-stated residual is excluded",712669,98.78,8787,1.22,,,,1667.78,,,"nso-2018-phc-table-e5-religion-by-district|geoboundaries-mwi-adm2-2020","full_response_denominator;no_not_stated_category_in_source;named_religions_in_religious_affiliation;cities_folded_into_parent_districts"
"MW","mw-district-2020-geoboundaries-adm2","district","mw-district-2020-geoboundaries-adm2:zomba","zomba","Zomba",2018,851737,"table E5 district total (usual residents); every resident is allocated to a denomination or to no religion, so no not-stated residual is excluded",848369,99.6,3368,0.4,,,,3111.28,,,"nso-2018-phc-table-e5-religion-by-district|geoboundaries-mwi-adm2-2020","full_response_denominator;no_not_stated_category_in_source;named_religions_in_religious_affiliation;cities_folded_into_parent_districts"
